Depth,Channel,State,Pulse_Index,AC_Component_Ratio,AUC_Ratio,Amplitude_Ratio,DC_Component_Ratio,Delta_A_Ratio,Delta_T_Difference,Downslope_Ratio,PI_Ratio,Rise_Time_Ratio,Upslope_Ratio,Width_Ratio_Difference
3,Combined,Ischaemia,9,0.6661214902708206,0.565592678638954,0.6661214902708206,1.4410463095020747,0.4620418283556405,0.046499999999999986,1.7704204883192265,0.46224851162916925,1.1476683931877365,0.8546849536619694,0.06052424812003376
3,Combined,Ischaemia,10,0.5816194866479371,0.5681293936130065,0.5816194866479371,1.4409125773919944,0.4034461446130646,-0.017,2.347829722163499,0.4036466295731641,0.8571428566975882,1.065060627376425,-0.06495730552185552
3,Combined,Ischaemia,11,0.6454587458672723,0.559930289414454,0.6454587458672723,1.4411623231417385,0.44766697740139527,-0.014000000000000012,2.328229253988648,0.44787374482558723,0.7752525248609835,1.210958281653621,-0.09193837418301076
3,Combined,Ischaemia,12,0.552688348227692,0.5606544021509854,0.552688348227692,1.4411255311069529,0.38331642981971553,-0.0030000000000000027,1.8938211430110816,0.383511605512036,1.112565444443683,0.897300920234641,0.08574785678632979
3,Combined,Ischaemia,13,0.5788825271584632,0.5803033743497977,0.5788825271584632,1.4411034895439532,0.4014942591039187,-0.004500000000000004,1.161102939451828,0.4016939449802084,1.370843989068622,0.9758361760513111,0.14933278034354758
3,Combined,Ischaemia,14,0.6322346303044549,0.5573623027901161,0.6322346303044549,1.4410235698543201,0.43853547188654407,0.0025000000000000022,1.48280171344045,0.43873997895832284,0.9999999994666666,1.0012445471155729,-0.009071789428722221
3,Combined,Ischaemia,15,0.5706488465525384,0.5605943176210445,0.5706488465525384,1.4409160120152087,0.39583775280120664,0.02350000000000002,2.054350470858889,0.39603201063269905,1.1122448973917116,0.8100068029866573,0.05169422606343643
3,Combined,Ischaemia,16,0.5758160970805171,0.5898432004391491,0.5758160970805171,1.4409271906375591,0.399413378942154,-0.016999999999999987,1.7128602416244707,0.39961499733774514,1.8866995064597538,0.9681151415150996,0.5648526288464074
3,Combined,Ischaemia,17,0.5450210762220281,0.592447892569266,0.5450210762220281,1.4406493621150316,0.3781182871662764,0.11399999999999999,2.4922115707031334,0.37831627036469123,1.4430051805994792,0.8584433832736976,0.21199415815066947
3,Combined,Ischaemia,18,0.6297927060606697,0.5998717405176578,0.6297927060606697,1.4408633517621152,0.43689059684824066,-0.0030000000000000027,1.6884455040943527,0.4370940004226763,0.9331619532477315,1.0635845291557506,-0.03407414426112265
