State,Pulse_ID,PI_Ratio,Amplitude_Ratio,Delta_A_Ratio,Rise_Decay_Ratio_Red,Rise_Decay_Ratio_IR,b_a_Red,b_a_IR,c_a_Red,c_a_IR,d_a_Red,d_a_IR,e_a_Red,e_a_IR,Skewness_Red,Skewness_IR,Kurtosis_Red,Kurtosis_IR,Variance_Red,Variance_IR
Normal,10,0.49973314221732246,0.7198172265705279,0.49973314221732246,0.19280843149411037,0.19059405940594057,-0.8671149232015292,-1.013945159062883,0.41846438406267805,0.14719854645813477,-0.4009979688254981,-0.2111499210826936,0.7619420241711119,0.4488045052662011,-0.08769118354543232,-0.11625515869241704,-1.334719360046945,-1.3459404263520365,0.09428042767183797,0.10180920930776309
Normal,11,0.46869069666821933,0.6751089952892477,0.4686906966682193,0.27417218543046357,0.19280843149411037,-1.0757863714256013,-0.9955163113098493,0.4804297910262359,0.25825336264093574,-0.3458362432241785,-0.11725052313598015,0.32646378616334076,0.48130996476282845,-0.02351574004492426,-0.1583941864013574,-1.2546223476749936,-1.3324651955038063,0.10009754907548699,0.10155550044314572
Normal,12,0.44391618440952996,0.6394602711656928,0.44391618440952996,0.27704485488126646,0.19950433705080545,-0.9828679607805269,-0.9730532791875617,0.718082477909284,0.16128983210766637,-0.7091524388675016,-0.1589034281006895,0.9666822029384843,0.5059934261609832,-0.26193500308603296,-0.13424110095097144,-1.2835733607060325,-1.298499080839907,0.10711901805958551,0.1018484079224234
Normal,13,0.5194884950390445,0.7483565047526944,0.5194884950390445,0.18293431553100062,0.191713048855906,-1.1294318843982627,-0.9952021709749884,0.41174955084886616,0.17654478209386354,-0.38804556661073436,-0.15167530098855875,0.8837050986209529,0.4160976570029884,-0.4187493978400478,-0.1493326935660894,-0.9708481192010114,-1.331233438523938,0.08275910580262581,0.10441277781088167
Normal,14,0.5325198081606248,0.7669997463226802,0.5325198081606247,0.3755334281650072,0.19015384615384615,-1.005765799164908,-0.9792478494043384,0.7596258348316898,0.21714861526786502,-0.8210598417022932,-0.19573777403896198,0.8051768510295659,0.4192844946084069,-0.27001561720008405,-0.11986606935888168,-1.1413977982095282,-1.3047762875762567,0.07634192051948577,0.09921702152641369
Normal,15,0.46138753909993263,0.6645083816934522,0.46138753909993263,0.3468531468531469,0.18888888888888888,-1.5289986999985623,-1.03503983982164,0.6176655607639463,0.262113485878698,-0.4129244826597653,-0.2600141710439543,0.7051414319707247,0.454584502518113,-0.4391353517116452,-0.17146531642013077,-1.1288178104445155,-1.3324465302610273,0.0998005181193077,0.10277792561750254
Normal,16,0.5339981254910641,0.7689888204197187,0.5339981254910641,0.1777642028100183,0.19306930693069305,-1.5396111960199415,-1.0147513843077423,0.8254413420302724,0.1569816153083437,-0.44273458585363473,-0.19207071305291792,0.6340996291094814,0.4082458463729451,-0.27791184210164976,-0.1272380695361062,-1.012946122197074,-1.3442182926229749,0.07798104753666049,0.10100285970342776
Normal,17,0.5419800382055203,0.7804923819392735,0.5419800382055203,0.19628482972136224,0.18892307692307692,-1.5949057335731567,-1.0686188163459691,0.7044229072411677,0.21690936696145802,-0.6002771276380505,-0.2314897588173788,0.6954548915790686,0.48054059675683736,-0.08783727054592025,-0.1612984222224611,-0.9103830128910073,-1.329300401518559,0.07770878250010793,0.10201015084368655
Normal,18,0.48818950702005465,0.7032008298766914,0.48818950702005465,0.23518164435946462,0.19114935464044253,-0.5471412542203575,-1.0185721940769281,0.33096782419155846,0.2104155218960306,-0.2548046685725039,-0.1675266231565513,0.4152337283016249,0.49456023924021025,-0.13219488526048656,-0.13835921964134665,-1.3078810323820362,-1.3179534771381831,0.09536554645625053,0.10217596771422985
Normal,19,0.4984462494748465,0.7181305580327986,0.49844624947484645,0.16969696969696973,0.1818738518064911,-0.946100995626192,-1.0509766016803828,0.5024039609221468,0.25452845812698494,-0.39790300510633847,-0.1728554123625577,0.9886484538938716,0.457465408817495,-0.4492785776878024,-0.13804720625426423,-0.9826519645671201,-1.341158758438966,0.07602094971794393,0.10056085604968695
