PI,Amplitude,AUC,S_AUC,D_AUC,AUC_Ratio,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff,Crest_Time,Decay_Time,Pulse_Width,PW50,Rise_Decay_Ratio,Systolic_Width,Diastolic_Width,Width_Ratio,Upslope,Downslope,Slope_Ratio,Delta_T,b_a,c_a,d_a,e_a,DNP,RWI,Skewness,Kurtosis,Variance,State,Channel,Pulse_Index
0.04381600850694158,0.0010243411306449313,1.043934639390347,0.15236320348824922,0.8915714359020978,0.1708928722206066,0.328023747839457,0.0608334198007858,5.3921635241687245,0.0010167874005796293,0.1555,0.829,0.9845,0.5635,0.18757539201597404,0.404,0.5805,0.6959517655993193,11.340686431066047,-3.1127861374282872,3.643259102943428,0.0,-1.1073456121121132,0.6195471931555662,-0.6305378848199577,0.484324999034095,226.89995487107535,0.9528159435491518,-0.18818266156524008,-1.3238877514220884,0.10062246366726434,Normal,IR,20
0.04344839188510131,0.001015765618028542,1.0300939920294687,0.15088582226028865,0.8792081697691799,0.17161558255622147,0.3067515856096665,0.0779311522823587,3.9361869577474127,0.0009844358546818115,0.157,0.803,0.96,0.553,0.19551681193081982,0.3975,0.5625,0.706666666541037,10.874627091575462,-2.7076816579046294,4.016213301673468,0.0,-1.0249321070342665,0.5355828038879791,-0.5184564977982599,0.5263059842809813,209.14794009963612,0.9436948290676855,-0.1853778088752933,-1.3448800171585746,0.09893602356584376,Normal,IR,21
0.043620811307853384,0.0010197903366288594,1.0594644951614531,0.15914060905191907,0.900323886109534,0.1767592879512718,0.3075197423470918,0.07380124436572721,4.166863913655302,0.0010171239187986784,0.171,0.821,0.992,0.5445,0.2082825821914394,0.417,0.575,0.725217391178223,10.23131502550234,-2.86516727047416,3.5709311391973477,0.0,-1.1169144839968774,0.756296696306731,-0.7741695812013585,0.597272224010146,243.74049848574913,0.9561847996117688,-0.12722736741851295,-1.3471730059522276,0.09962143345821081,Normal,IR,22
0.044142741239120487,0.0010320021075683383,1.0535812784587197,0.16494901451187538,0.8886322639468444,0.18562123072225079,0.32299405009119364,0.07951139015384853,4.062236228796918,0.0010253846198003554,0.1645,0.8245,0.989,0.5115,0.19951485746518924,0.4115,0.5775,0.7125541124307265,10.483231337350219,-2.2536066988831465,4.6517572662880236,0.0,-1.032793877259109,0.5972420121014512,-0.5786013380243605,0.588526240222017,223.67749394686575,0.8785385425844092,-0.13586964895677697,-1.27401169659474,0.09493099769460106,Normal,IR,23
0.04252706805954535,0.0009942511611433203,1.0261981996108545,0.1406165789406439,0.8855816206702104,0.15878443685218588,0.3283372066258999,0.05752501371695499,5.707729296174899,0.000990041726097794,0.1445,0.8335,0.978,0.5625,0.17336532691381337,0.3945,0.5835,0.676092544871278,12.19741999133555,-2.486531438966267,4.905395443508199,0.0,-0.9630424411169761,0.44939932062298193,-0.5810245139912266,0.5002758763049863,238.05645600521052,0.9483333521200881,-0.21258342132827746,-1.3812152463882088,0.10343000563583392,Normal,IR,24
0.0425058106307245,0.0009937676654434716,1.04350195557886,0.19359958921123596,0.849902366367624,0.22779038728398565,0.30948171578365924,0.08586288315180551,3.6043713425748667,0.000955912317634595,0.1785,0.783,0.9615,0.546,0.22796934862988896,0.413,0.5485,0.7529626252045647,10.415453514722742,-2.8135808451850153,3.70184973791562,0.176,-0.9813506906268654,0.47005693010079197,-0.5401215006417512,0.50177968933948,236.27057365715723,0.9374070511376984,-0.19767302253107638,-1.3590431666841676,0.1002496362152659,Normal,IR,25
0.044964417078019556,0.0010512682173274518,1.0969087362764145,0.16532437288575372,0.9315843633906608,0.17746580917940785,0.3153028519837412,0.08575326346876501,3.6768612512444125,0.0010483798445891268,0.171,0.819,0.99,0.5155,0.20879120876571539,0.4165,0.5735,0.7262423712770283,10.324655363721831,-3.004753631037829,3.436107125964976,0.0005,-1.265239755419253,0.742372427411779,-0.8158529820080912,0.6188679681794351,226.5989801090879,0.8907539110393623,-0.18747387288284884,-1.279109513565699,0.09674161205731308,Normal,IR,26
0.044799533527005796,0.001047422110714502,1.107844831101949,0.15216366501148137,0.9556811660904676,0.15922011481929224,0.3339387232748241,0.08349392311577172,3.9995572182161423,0.0010434124858618955,0.1545,0.8365,0.991,0.543,0.1846981470191634,0.405,0.586,0.6911262797455416,11.532357142852675,-2.3993867247522758,4.806376989337846,0.0,-1.1673747429323238,0.7975234360372804,-0.8390015844738727,0.5603752414541217,234.25408041589412,0.9155322791531301,-0.19494926141830468,-1.3621989629487559,0.09768714962887058,Normal,IR,27
0.042811364512881735,0.001000949825728258,1.1072982683136225,0.1515509483874038,0.9557473199262188,0.15856800768559448,0.341661492766471,0.08378828777832967,4.07767602630338,0.000999867860891436,0.145,0.8255,0.9705,0.58,0.17565112051173212,0.3925,0.578,0.6790657438271513,12.312904879737118,-2.8929309760649744,4.256204168431204,0.0,-0.8922469996467702,0.46338316937142243,-0.4673867467645379,0.448280273494832,224.8013529698776,0.9805258740548968,-0.3051133171582777,-1.2414238772706383,0.10090871955156187,Normal,IR,28
0.04142191233487759,0.0009684594515646451,1.0233229862932447,0.1504852057747963,0.8728377805184484,0.17240913388071966,0.30960430449283444,0.08487371706196395,3.6478230816969948,0.0009514413120666655,0.1575,0.8295,0.987,0.5855,0.18987341769862887,0.406,0.581,0.6987951806026171,10.861809296206047,-2.7084786574657755,4.010299016337096,0.0,-1.050539230584426,0.6747118351678519,-0.6082683500218775,0.6667429743154096,228.08781343409214,0.9390189922040127,-0.24218465294426805,-1.1951993936393417,0.08376553002173757,Normal,IR,29
0.038725110396816226,0.0009055030831727211,0.44606054456861377,0.1271066728030705,0.3189538717655433,0.39851114538798577,0.12628655781638431,0.022433448020983487,5.6293868483935885,0.0008213001369008835,0.156,0.4695,0.6255,0.3745,0.3322683705362581,0.2965,0.329,0.9012158051971987,10.943298559002358,-3.1719661859569896,3.450004797373254,0.0,-1.124745239759436,0.6790213168819759,-0.7023402598734583,0.6105772520676834,251.8293177008668,0.8115580714688204,-0.23488217084460897,-0.39397870621650144,0.062355675549874416,Normal,IR,30
0.025720917269703766,0.0006023764950731845,0.4057961580249267,0.047440428258940626,0.35835572976598606,0.13238361858112851,0.1454708916301997,0.042045567283143626,3.4598389481722163,0.00048717920999868984,0.097,0.8415,0.9385,0.3475,0.11527035055077,0.349,0.5895,0.5920271415450334,13.11979292792455,-6.356797655402261,2.0638997241902826,0.0,-1.1082028623847966,0.7036597094682895,-0.5471642291549996,0.5807335712332892,330.4602068096835,0.686415959683937,0.1316350847392127,-0.26538190662208194,0.053876789688862156,Ischaemia,IR,0
0.022562236541021796,0.0005283907113934007,0.5569505599735229,0.08689775735273833,0.4700528026207847,0.18486807620282678,0.17836385457320325,0.045158031996009165,3.949770313152466,0.0005279518090605453,0.161,0.8515,1.0125,0.521,0.18907809745283874,0.416,0.5965,0.6974015086844255,10.908575871118785,-2.5162780218704768,4.335202936985623,0.0,-0.9510878674111025,0.4946043893390217,-0.6277225342332815,0.6324419974160622,476.26836369178574,0.8799947771547525,-0.07730224369461304,-1.323711041867278,0.0900561765971175,Ischaemia,IR,1
0.02221561966514842,0.0005202900225184938,0.5400735614007295,0.16882614041084482,0.3712474209898847,0.4547537055347501,0.16934115751254877,0.032993670606472514,5.132534631235449,0.00051502830369213,0.2385,0.721,0.9595,0.533,0.33079056860876693,0.4545,0.505,0.8999999998217821,12.723031655533873,-5.701741197088268,2.231429174969929,0.1295,-1.100670988471109,0.7204486811974081,-0.5736417667417419,0.8132413641494547,464.1749762145438,0.9074423403316897,-0.19176797819566516,-1.4601012639097035,0.10870911933489158,Ischaemia,IR,2
0.026648082022460176,0.0006241105986912634,0.5841582198716881,0.07857597904934725,0.5055822408223408,0.15541680994569743,0.17793010630968498,0.05482088787591782,3.2456626092566685,0.0006076254803687907,0.148,0.8395,0.9875,0.4655,0.17629541391586712,0.3995,0.588,0.6794217685919351,12.02228873294348,-5.329359966983361,2.255859766876098,0.0015,-1.1899568719233289,0.8490130827543619,-0.93563419663733,0.7673727849207002,467.3952012981558,0.7859365504582227,-0.05115854686824471,-1.2343427651945555,0.07609120050264927,Ischaemia,IR,3
0.024826893905302044,0.0005814569078138401,0.5661145996244272,0.10307672528166838,0.4630378743427588,0.22260970639975333,0.18419476046403344,0.03611363228908737,5.100421870597886,0.0005759484306649021,0.171,0.8215,0.9925,0.527,0.20815581251270168,0.417,0.5755,0.7245873152520265,8.792480870283555,-4.999329219285528,1.7587321187389708,0.1695,-0.9092150695606583,0.5787309815873866,-0.809514764349629,0.7404507822879776,445.62740699762384,0.8586064665515982,-0.13563050761072465,-1.260019448288339,0.08389230839137196,Ischaemia,IR,4
0.02279489315529981,0.0005338706706494241,0.5261910987257636,0.0788990913237714,0.4472920074019922,0.17639280380707448,0.17334917684154177,0.03192433516543298,5.430001138637356,0.0005325059845476574,0.1495,0.8375,0.987,0.5075,0.17850746266525283,0.4005,0.5865,0.6828644500114468,11.244851560350867,-3.547886232684391,3.1694509977355945,0.148,-1.0663309527810658,0.7034662606252862,-0.6484547490136942,0.620709810144318,470.46041639215423,0.8749180174605472,-0.11099484579790243,-1.364396642714907,0.09565360786965273,Ischaemia,IR,5
0.022510727042568443,0.0005272160365740081,0.5122577106954753,0.07507486013382665,0.43718285056164874,0.17172416534684645,0.17553337774801014,0.030388882280817806,5.776236702235915,0.0005257509080378373,0.1435,0.848,0.9915,0.519,0.16922169809325216,0.3975,0.594,0.6691919190792607,12.215362720811186,-3.0232533403652724,4.040469436455255,0.0005,-1.2324695002668284,0.7256235617844352,-0.7577305586262294,0.6498366342053851,417.0491681158077,0.8932006334346049,-0.07256097943134882,-1.241819208657882,0.09161360213112966,Ischaemia,IR,6
0.022394192187596938,0.0005244904610353162,0.5240432870695703,0.0615062949457444,0.46253699212382593,0.13297594782641933,0.16922115246930547,0.040381821594825215,4.1905279496340935,0.0005015044719310146,0.1295,0.857,0.9865,0.5195,0.15110851806871547,0.3865,0.6,0.6441666665593055,13.04045686873394,-4.099515300514213,3.180975289147023,0.0005,-1.0645735467784616,0.7178494358910659,-0.6331742688848673,0.5853488484562351,529.3918108770038,0.917900443441284,-0.1233259917277045,-1.3688056016056904,0.09067435619578237,Ischaemia,IR,7
0.02319600112117541,0.000543276592458063,0.5710122544036307,0.06772795815706346,0.5032842962465672,0.13457196786928005,0.1792009289758631,0.051878303651594786,3.4542557488756422,0.0005209404671061838,0.1295,0.8465,0.976,0.55,0.15298287062575514,0.383,0.593,0.6458684653211014,12.735011003238014,-3.8016202539654955,3.3498903499419885,0.0,-1.1506781616396164,0.7712397825865728,-0.8066367404124695,0.8792831910363147,496.80354767262907,0.9585097201036339,-0.20677489408597358,-1.242974958238337,0.09082080336974785,Ischaemia,IR,8
0.025208640056219776,0.0005904186520640512,0.5851330414902776,0.0758279651798271,0.5093050763104503,0.14888515487467308,0.18812744340664367,0.04456645129857145,4.221279404190435,0.0005883938694487905,0.141,0.839,0.98,0.4905,0.16805721094540438,0.3925,0.5875,0.6680851062692621,12.837822059330392,-4.077662676633452,3.1483286080972643,0.0,-1.1250128878589176,0.7558017314137452,-0.5154881323098424,0.6147136012171202,494.7041065446404,0.928127939154801,-0.0729076705392605,-1.2146411443552612,0.08636057941855196,Ischaemia,IR,9
0.02259004229749552,0.0005290917550445996,0.5743072492740984,0.08698286999101638,0.48732437928308203,0.1784907007959062,0.1794981746876136,0.045643833002331005,3.9325832754928443,0.0005281791839807312,0.1545,0.8405,0.995,0.5655,0.18381915524285317,0.4065,0.5885,0.6907391672573084,12.091718901923684,-4.281404557296582,2.8242411432561196,0.0,-0.8667723971023202,0.6558350272719318,-0.685833464903467,0.6762995820182233,435.89455798030446,0.9586172215738146,-0.1518858623612248,-1.3624777500049041,0.10075705271374048,Ischaemia,IR,10
0.024037661564250242,0.0005630044528166544,0.5364961906894095,0.07134254095483043,0.465153649734579,0.15337413987872983,0.188026446972761,0.025967331124100972,7.2408845310313845,0.000557571252349603,0.131,0.8625,0.9935,0.523,0.15188405795340473,0.3895,0.604,0.644867549562108,13.182538593918935,-4.247896845948901,3.1033094897726667,0.0,-1.1183050870540971,0.760256276961276,-0.7275456896738671,0.6736260568103144,406.3389002985041,0.906543030869781,-0.07231825319476837,-1.4612423838762765,0.09101151581520847,Ischaemia,IR,11
0.02289176857638644,0.0005361688836068863,0.49516043684570127,0.0628077645352088,0.4323526723104925,0.14526974977403784,0.1663061122535559,0.031369055146480904,5.301597735309951,0.00053263342866727,0.1235,0.818,0.9415,0.5015,0.15097799509156748,0.3685,0.573,0.643106457130348,13.890994502355397,-4.1855221974567485,3.318819933738282,0.0005,-1.0036820007331717,0.5953004351977036,-0.5811644218665315,0.5791332744953585,473.2004046301922,0.8472459380853593,-0.09892584275190965,-1.3424814122350368,0.0920720527883765,Ischaemia,IR,12
0.022076499362706902,0.000517075345596567,0.5099000346598243,0.0863968583357339,0.4235031763240904,0.2040052191939577,0.15065031023947992,0.03561961632974679,4.229419778750572,0.0005132570926355621,0.186,0.8205,1.0065,0.513,0.2266910420199036,0.432,0.5745,0.7519582244121917,9.94077216521157,-4.502678861438312,2.2077462041819627,0.0005,-1.134783568976785,0.8543919830241233,-0.8509018999330892,0.939304802791335,486.3301782256708,0.908347221219731,0.011616137117444383,-1.2998948513699566,0.09818467634218178,Ischaemia,IR,13
0.022042198596816463,0.0005162806889280314,0.4835617921522457,0.06953320716282828,0.4140285849894174,0.16794301086194627,0.1620039413886219,0.0173047751045335,9.361805598386516,0.0005124201429142763,0.146,0.835,0.981,0.5825,0.17485029938025745,0.3965,0.5845,0.6783575704570817,11.9997792735154,-4.1052105929042,2.923060584020841,0.0005,-1.216010340308569,0.7511415398557659,-0.8490047722210906,0.7615265767011067,436.9792189969637,0.9022785652397154,-0.12253578954377667,-1.3785620650722867,0.09847539946040765,Ischaemia,IR,14
0.02431619188311242,0.0005695483255758198,0.5279604523427981,0.06127373882015309,0.466686713522645,0.1312952287510332,0.15999107339124533,0.05294915123076025,3.0215984462493206,0.000514666365638365,0.142,0.861,1.003,0.5195,0.16492450636876602,0.4,0.603,0.6633499169712521,12.209067448325982,-4.297654318919285,2.8408677250505487,0.0015,-1.4617878021198214,1.0188387617036418,-0.7812623039788184,0.8964618339630055,414.7310978711398,0.8606321144707869,-0.08220365691896236,-1.2539849694613039,0.07961881410950951,Ischaemia,IR,15
0.022566518529833785,0.000528577590902043,0.5503107934927634,0.1566525761114191,0.3936582173813442,0.3979405716809227,0.16815772287547623,0.05016701419162623,3.3519579598251026,0.0005240313361158646,0.2095,0.676,0.8855,0.5465,0.3099112425577054,0.412,0.4735,0.8701161560992363,14.759698613274281,-5.754233289474882,2.565015679849976,0.118,-0.9085668364084004,0.8436609360169737,-0.5734261094346796,0.5100388328152242,530.6513241525777,0.8918748618248035,-0.38829623582912826,-1.1798648530337106,0.09163456922971001,Ischaemia,IR,16
