Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse
Slope_Length_Ratio,Ischaemia,30,30,0.866667,0.766632,0.947743,0.772190,0.766667,0.833333,0.821429,0.781250,0.800000,0.793103,0.600000,4.600000,0.280000,23,25,5,7,True
Upslope_Length_Ratio,Ischaemia,30,30,0.866667,0.766632,0.947743,0.435727,0.766667,0.833333,0.821429,0.781250,0.800000,0.793103,0.600000,4.600000,0.280000,23,25,5,7,True
Rise_Decay_Time_Ratio,Ischaemia,30,30,0.832222,0.718833,0.924400,0.240498,0.766667,0.833333,0.821429,0.781250,0.800000,0.793103,0.600000,4.600000,0.280000,23,25,5,7,True
Width_Ratio,Ischaemia,30,30,0.831111,0.717104,0.924577,0.771788,0.766667,0.833333,0.821429,0.781250,0.800000,0.793103,0.600000,4.600000,0.280000,23,25,5,7,True
IPAR,Ischaemia,30,30,0.822222,0.706178,0.918926,0.578263,0.933333,0.600000,0.700000,0.900000,0.766667,0.800000,0.533333,2.333333,0.111111,28,18,12,2,False
Rise_Time,Ischaemia,30,30,0.788889,0.662355,0.889377,0.185500,0.533333,0.966667,0.941176,0.674419,0.750000,0.680851,0.500000,16.000000,0.482759,16,29,1,14,True
Upslope,Ischaemia,30,30,0.742222,0.622831,0.868755,9.266787,0.500000,0.966667,0.937500,0.659091,0.733333,0.652174,0.466667,15.000000,0.517241,15,29,1,15,False
Delta_T,Ischaemia,30,30,0.729444,0.601571,0.852231,0.131000,0.566667,0.900000,0.850000,0.675000,0.733333,0.680000,0.466667,5.666667,0.481481,17,27,3,13,True
AUC_Ratio,Ischaemia,30,30,0.710000,0.571678,0.834304,0.215946,0.433333,1.000000,1.000000,0.638298,0.716667,0.604651,0.433333,,0.566667,13,30,0,17,True
RWI,Ischaemia,30,30,0.703333,0.554356,0.833162,0.891175,0.666667,0.733333,0.714286,0.687500,0.700000,0.689655,0.400000,2.500000,0.454545,20,22,8,10,True
SDPPG_b_a,Ischaemia,30,30,0.702222,0.566936,0.829428,-0.958422,0.733333,0.633333,0.666667,0.703704,0.683333,0.698413,0.366667,2.000000,0.421053,22,19,11,8,True
Pulse_Width,Ischaemia,30,30,0.693889,0.556899,0.821007,0.985000,0.566667,0.900000,0.850000,0.675000,0.733333,0.680000,0.466667,5.666667,0.481481,17,27,3,13,False
Datum_Area_Ratio,Ischaemia,30,30,0.686667,0.543134,0.813638,4.083003,0.466667,0.900000,0.823529,0.627907,0.683333,0.595745,0.366667,4.666667,0.592593,14,27,3,16,False
Systolic_Width,Ischaemia,30,30,0.669444,0.522844,0.799696,0.423000,0.533333,0.933333,0.888889,0.666667,0.733333,0.666667,0.466667,8.000000,0.500000,16,28,2,14,True
Skewness,Ischaemia,30,30,0.643333,0.495522,0.779043,-0.163631,0.833333,0.433333,0.595238,0.722222,0.633333,0.694444,0.266667,1.470588,0.384615,25,13,17,5,False
PW50,Ischaemia,30,30,0.638889,0.488735,0.772639,0.524500,0.566667,0.733333,0.680000,0.628571,0.650000,0.618182,0.300000,2.125000,0.590909,17,22,8,13,True
Variance,Ischaemia,30,30,0.627778,0.473860,0.766167,0.095476,0.433333,0.900000,0.812500,0.613636,0.666667,0.565217,0.333333,4.333333,0.629630,13,27,3,17,True
Upslope_Length,Ischaemia,30,30,0.568889,0.422988,0.709893,1.033015,0.733333,0.500000,0.594595,0.652174,0.616667,0.656716,0.233333,1.466667,0.533333,22,15,15,8,True
Onset_End_Slope,Ischaemia,30,30,0.553333,0.408913,0.703006,0.037899,0.233333,0.933333,0.777778,0.549020,0.583333,0.358974,0.166667,3.500000,0.821429,7,28,2,23,False
Kurtosis,Ischaemia,30,30,0.518889,0.349241,0.675745,-1.399174,0.366667,0.900000,0.785714,0.586957,0.633333,0.500000,0.266667,3.666667,0.703704,11,27,3,19,True
DNP,Ischaemia,30,30,0.512222,0.362570,0.670000,0.804269,0.500000,0.700000,0.625000,0.583333,0.600000,0.555556,0.200000,1.666667,0.714286,15,21,9,15,False
