Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse,Depth,Source,Category,Clean_Feature,Display_Name
Delta_T,Congestion,30,30,0.567778,0.417383,0.709864,0.1335,0.4,0.866667,0.75,0.590909,0.633333,0.521739,0.266667,3.0,0.692308,12,26,4,18,True,3,Red,Other,Delta_T,Delta_T
Fall_Time,Congestion,30,30,0.549444,0.387084,0.704576,0.766,0.766667,0.433333,0.575,0.65,0.6,0.657143,0.2,1.352941,0.538462,23,13,17,7,True,3,Red,Time,Fall_Time,Fall_Time
SDPPG_d_a,Congestion,30,30,0.548889,0.40178,0.704119,-0.207392,1.0,0.233333,0.566038,1.0,0.616667,0.722892,0.233333,1.304348,0.0,30,7,23,0,True,3,Red,SDPPG,SDPPG_d_a,SDPPG_d_a
Systolic_Width,Congestion,30,30,0.548889,0.401179,0.691961,0.4285,0.533333,0.633333,0.592593,0.575758,0.583333,0.561404,0.166667,1.454545,0.736842,16,19,11,14,True,3,Red,Time,Systolic_Width,Systolic_Width
Diastolic_Width,Congestion,30,30,0.548333,0.386545,0.704005,0.5365,0.766667,0.433333,0.575,0.65,0.6,0.657143,0.2,1.352941,0.538462,23,13,17,7,True,3,Red,Time,Diastolic_Width,Diastolic_Width
AUC_Ratio,Congestion,30,30,0.53,0.380471,0.680047,0.2001,0.133333,1.0,1.0,0.535714,0.566667,0.235294,0.133333,,0.866667,4,30,0,26,True,3,Red,Area,AUC_Ratio,AUC_Ratio
Datum_Area_Ratio,Congestion,30,30,0.527778,0.371406,0.672986,3.103514,0.4,0.733333,0.6,0.55,0.566667,0.48,0.133333,1.5,0.818182,12,22,8,18,True,3,Red,Area,Datum_Area_Ratio,Datum_Area_Ratio
Kurtosis,Congestion,30,30,0.523333,0.372604,0.677798,-1.256969,0.766667,0.4,0.560976,0.631579,0.583333,0.647887,0.166667,1.277778,0.583333,23,12,18,7,True,3,Red,Shape & Stats,Kurtosis,Kurtosis
Length_Height_Ratio,Congestion,30,30,0.523333,0.382744,0.677802,2.338522,0.433333,0.666667,0.565217,0.540541,0.55,0.490566,0.1,1.3,0.85,13,20,10,17,False,3,Red,Other,Length_Height_Ratio,Length_Height_Ratio
Slope_Ratio,Congestion,30,30,0.521111,0.361475,0.667807,2.700362,0.8,0.3,0.533333,0.6,0.55,0.64,0.1,1.142857,0.666667,24,9,21,6,False,3,Red,Slope,Slope_Ratio,Slope_Ratio
Onset_End_Slope,Congestion,30,30,0.518889,0.377733,0.662947,-0.039693,0.766667,0.366667,0.547619,0.611111,0.566667,0.638889,0.133333,1.210526,0.636364,23,11,19,7,False,3,Red,Slope,Onset_End_Slope,Onset_End_Slope
PW50,Congestion,30,30,0.516111,0.369851,0.66296,0.5605,0.4,0.7,0.571429,0.538462,0.55,0.470588,0.1,1.333333,0.857143,12,21,9,18,False,3,Red,Time,PW50,PW50
Downslope_Length_Ratio,Congestion,30,30,0.515556,0.365765,0.666352,0.550162,0.8,0.3,0.533333,0.6,0.55,0.64,0.1,1.142857,0.666667,24,9,21,6,False,3,Red,Slope,Downslope_Length_Ratio,Downslope_Length_Ratio
Slope_Length_Ratio,Congestion,30,30,0.515556,0.365765,0.666352,0.817646,0.8,0.3,0.533333,0.6,0.55,0.64,0.1,1.142857,0.666667,24,9,21,6,True,3,Red,Slope,Slope_Length_Ratio,Slope_Length_Ratio
Upslope_Length_Ratio,Congestion,30,30,0.515556,0.365765,0.666352,0.449838,0.8,0.3,0.533333,0.6,0.55,0.64,0.1,1.142857,0.666667,24,9,21,6,True,3,Red,Slope,Upslope_Length_Ratio,Upslope_Length_Ratio
Rise_Decay_Time_Ratio,Congestion,30,30,0.511111,0.359345,0.661618,0.258376,0.766667,0.366667,0.547619,0.611111,0.566667,0.638889,0.133333,1.210526,0.636364,23,11,19,7,False,3,Red,Time,Rise_Decay_Time_Ratio,Rise_Decay_Time_Ratio
SDPPG_e_a,Congestion,30,30,0.511111,0.373687,0.662684,0.348128,0.666667,0.433333,0.540541,0.565217,0.55,0.597015,0.1,1.176471,0.769231,20,13,17,10,False,3,Red,SDPPG,SDPPG_e_a,SDPPG_e_a
Downslope_Length,Congestion,30,30,0.507778,0.363631,0.665211,1.34417,0.3,0.833333,0.642857,0.543478,0.566667,0.409091,0.133333,1.8,0.84,9,25,5,21,False,3,Red,Slope,Downslope_Length,Downslope_Length
Downslope,Congestion,30,30,0.506667,0.340323,0.648525,-2.447941,0.266667,0.9,0.727273,0.55102,0.583333,0.390244,0.166667,2.666667,0.814815,8,27,3,22,False,3,Red,Slope,Downslope,Downslope
Upslope,Congestion,30,30,0.506667,0.358575,0.658886,7.599476,1.0,0.166667,0.545455,1.0,0.583333,0.705882,0.166667,1.2,0.0,30,5,25,0,False,3,Red,Slope,Upslope,Upslope
Width_Ratio,Congestion,30,30,0.506667,0.354881,0.656616,0.796688,0.766667,0.366667,0.547619,0.611111,0.566667,0.638889,0.133333,1.210526,0.636364,23,11,19,7,False,3,Red,Time,Width_Ratio,Width_Ratio
Rise_Time,Congestion,30,30,0.502778,0.356094,0.643739,0.2155,0.766667,0.366667,0.547619,0.611111,0.566667,0.638889,0.133333,1.210526,0.636364,23,11,19,7,True,3,Red,Time,Rise_Time,Rise_Time
Upslope_Length,Congestion,30,30,0.501111,0.354791,0.652121,1.012922,0.4,0.733333,0.6,0.55,0.566667,0.48,0.133333,1.5,0.818182,12,22,8,18,True,3,Red,Slope,Upslope_Length,Upslope_Length
AC_Component,Ischaemia,30,30,1.0,1.0,1.0,0.003083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,IR,Intensity,AC_Component,AC_Component
AUC,Ischaemia,30,30,1.0,1.0,1.0,3.202795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,IR,Area,AUC,AUC
Amplitude,Ischaemia,30,30,1.0,1.0,1.0,0.003083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,IR,Intensity,Amplitude,Amplitude
D_AUC,Ischaemia,30,30,1.0,1.0,1.0,2.610092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,IR,Area,D_AUC,D_AUC
Diastolic_Width,Ischaemia,30,30,1.0,1.0,1.0,0.5425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,False,3,IR,Time,Diastolic_Width,Diastolic_Width
End_Datum_Area,Ischaemia,30,30,1.0,1.0,1.0,0.25177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,IR,Area,End_Datum_Area,End_Datum_Area
Fall_Time,Ischaemia,30,30,1.0,1.0,1.0,0.775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,False,3,IR,Time,Fall_Time,Fall_Time
Max_Start_Datum_Diff,Ischaemia,30,30,1.0,1.0,1.0,0.003045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,IR,Area,Max_Start_Datum_Diff,Max_Start_Datum_Diff
PI,Ischaemia,30,30,1.0,1.0,1.0,0.168464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,IR,Intensity,PI,PI
