Pulse_ID,Amplitude,AUC,S_AUC,D_AUC,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff,State,Channel,Depth_mm
4,0.0030594525301722545,3.155561260454513,0.0,3.1525018215859397,1.3278501683999604,0.5926274453990965,2.2406153793733576,0.0030594525301722545,Ischaemia,IR,3
5,0.0030367332023758156,3.0790648465037243,3.0790648465037243,0.0,1.3011920852823882,0.5675659272110462,2.2925831571255464,0.00300605421834045,Ischaemia,IR,3
6,0.0030649760411627846,3.154237896403297,3.154237896403297,0.0,1.3244671789590747,0.5893977717073016,2.2471533530276275,0.003057266471764665,Ischaemia,IR,3
7,0.0030863783564580903,3.171568530052179,0.0,3.168482152786071,1.3336558849824702,0.5910631039307822,2.2563680191052002,0.0030863783564580903,Ischaemia,IR,3
8,0.003061352946859384,3.1724543425422085,0.0,3.1693929962142247,1.3279674421507877,0.5837229883664381,2.2749959631830405,0.003061352946859384,Ischaemia,IR,3
9,0.0030249765794882746,3.1212884797346505,0.0,3.118263505121056,1.3198793179927832,0.5841213601229507,2.2595977618674383,0.0030249765794882746,Ischaemia,IR,3
10,0.003046309116806646,3.187953727929908,0.0,3.1849074992611897,1.3298517453426542,0.5979468152230931,2.224030150317781,0.003046309116806646,Ischaemia,IR,3
11,0.0030557487919686743,3.2310235253420303,3.2310235253420303,0.0,1.3440812279232683,0.6224383536698351,2.1593804751887444,0.0030519895526927915,Ischaemia,IR,3
12,0.003017350772845656,3.1215677745678185,3.1215677745678185,0.0,1.3144557164499453,0.5911570066087632,2.2235306386546343,0.0030167823273202074,Ischaemia,IR,3
13,0.002989938249970968,3.074732344563258,0.0,3.0717424779729896,1.295498753147739,0.578358191359741,2.2399592026214323,0.002989938249970968,Ischaemia,IR,3
14,0.0030439441843566873,3.1810721756849043,0.0,3.1780282468280525,1.324959317596807,0.5795053855660359,2.286362388681934,0.0030439441843566873,Ischaemia,IR,3
15,0.0029661726812408554,3.1080677822696394,3.1080677822696394,0.0,1.3106092413120989,0.5928367123182869,2.2107423748893074,0.0029596479941477478,Ischaemia,IR,3
16,0.003012169646688637,3.0942445847880484,3.0912324170533965,0.0,1.298164863077183,0.6103786302112282,2.126818992054061,0.0029735480991857173,Ischaemia,IR,3
17,0.0030787807474465237,3.181610738350488,3.181610738350488,0.0,1.3211592955398852,0.608033087283213,2.172841121924847,0.003075239515868817,Ischaemia,IR,3
18,0.0030446856512563346,3.1366818778508962,0.0,3.1336372760085593,1.3066341354021125,0.5928565865930986,2.2039632601719044,0.0030446856512563346,Ischaemia,IR,3
19,0.0030438258595464627,3.1970537674540696,3.1970537674540696,0.0,1.3197013426336885,0.6024912950815625,2.19040731942033,0.003021529353811169,Ischaemia,IR,3
20,0.0029718448574265303,3.06724148667727,0.0,3.064269687422195,1.2908346766125267,0.5793955308815533,2.2278989184616513,0.0029718448574265303,Ischaemia,IR,3
