State,Pulse_ID,Red_Amplitude,Red_PI,Red_Rise_Decay_Ratio,Red_Datum_Area_Ratio,Red_b_a,Red_c_a,Red_d_a,Red_e_a,Red_Skewness,Red_Kurtosis,Red_Variance,Red_PI_Ratio,Red_Amplitude_Ratio,Red_Delta_A_Ratio,IR_Amplitude,IR_PI,IR_Rise_Decay_Ratio,IR_Datum_Area_Ratio,IR_b_a,IR_c_a,IR_d_a,IR_e_a,IR_Skewness,IR_Kurtosis,IR_Variance,IR_PI_Ratio,IR_Amplitude_Ratio,IR_Delta_A_Ratio
Ischaemia,0,0.0018557467879997407,0.0703821261894016,0.15836832633473305,3.054445887117572,-1.3665880199558007,0.6502527837832563,-0.46569939385639775,0.8194147790166177,-0.11879043447595036,-1.2896522532386614,0.08081583848213415,0.46959989949705,0.6768041579996064,0.46959989949705,0.0027419258083234473,0.1498767914234695,0.17386018237082065,3.8954120550879083,-0.977753643513864,0.3231675308381535,-0.25381143490687197,0.5199268215634503,-0.24905543694484236,-1.3347970930762336,0.09971639818699951,0.46959989949705,0.6768041579996064,0.46959989949705
Ischaemia,1,0.0016860474867276926,0.06394686091535519,0.2843976300197498,2.7612472265854326,-1.0897777231090944,0.47665375481090566,-0.512857785593708,1.2234191778187735,-0.2321694566031559,-1.3343795989615084,0.08600327610813502,0.42048777634618434,0.6059980200217755,0.42048777634618434,0.002782265669229592,0.15207781179995167,0.19400244798041616,4.705363203222707,-0.8778455614306759,0.20421850361005556,-0.2573606919905631,0.46129718399934105,-0.1405423826303572,-1.3748024836075532,0.1021109750186652,0.42048777634618434,0.6059980200217755,0.42048777634618434
Ischaemia,2,0.0019682565272780067,0.07464519336922674,0.17625899280575538,2.778851378367572,-0.9688470371983783,0.40891587186177514,-0.4436397156519003,0.8221562378046192,-0.061047429788982144,-0.9024412770891703,0.07757174787411882,0.49256406878685544,0.7098905360847602,0.49256406878685544,0.002772619759284971,0.15154413019421348,0.1956124314442413,4.964650630624022,-0.9669205139191284,0.29493454495449234,-0.26568565866877625,0.5137473814139359,-0.1261384928964614,-1.3881227141541537,0.10362081908366265,0.49256406878685544,0.7098905360847602,0.49256406878685544
Ischaemia,3,0.0019019997774284627,0.0721346635973294,0.3525329632199861,2.9159039924753682,-1.218739389198929,1.3738977555018064,-0.9769037514706764,0.6196521448800393,0.05869055865796767,-1.1641948892662555,0.07084470493190412,0.46552213272972,0.6708675514951261,0.46552213272972004,0.0028351345555312356,0.15495431586538647,0.1812121212121212,4.537933402397574,-0.9663772899965317,0.241207282353535,-0.259152587262378,0.543026249533085,-0.1314509309928182,-1.3569800606679894,0.09960186489399094,0.46552213272972,0.6708675514951261,0.46552213272972004
Ischaemia,4,0.0016378883518168737,0.06211729276198927,0.19123020706455543,3.5295133367298606,-0.8797085029917096,0.38955453724237,-0.4081604021983755,0.8795645426178609,-0.16491275180909598,-1.1725405406865805,0.09517967215432216,0.4057415914677078,0.5847137029237576,0.4057415914677078,0.0028011800367032658,0.15309569949999338,0.18617343844754397,4.743531736129278,-0.8900730664848308,0.20273102357354383,-0.2718041066876455,0.5494134210269651,-0.1595087846385991,-1.3920847520053485,0.10299758406604811,0.4057415914677078,0.5847137029237576,0.4057415914677078
Ischaemia,5,0.001709255156253278,0.0648183071490685,0.19021406727828746,4.131934288941144,-0.8414825058582152,0.32561424486787294,-0.25132277583326956,0.8091410763369979,-0.17511185862763376,-1.4660709372925054,0.09744327801658333,0.4177197220715645,0.6020005140363998,0.41771972207156455,0.002839291855072948,0.15517176643616484,0.178679588128407,5.100643263088886,-1.1191263964040412,0.21131309455670763,-0.26253913616740304,0.5368332144357891,-0.17450331595525953,-1.3631089753764245,0.1007798446786736,0.4177197220715645,0.6020005140363998,0.41771972207156455
Ischaemia,6,0.001718644508206883,0.06517529427407359,0.15507075471698115,3.9236310446516662,-0.8836531517146992,0.47942271055686636,-0.4243866766968514,0.7758704077589057,-0.29152833013699486,-1.4627074328495149,0.10215017398342381,0.4154912383733613,0.5987625496112812,0.4154912383733613,0.0028703273264545906,0.15686322178352877,0.18655360387643852,4.707948138589746,-1.15219546100667,0.27089644127641666,-0.2793581096973489,0.649636087007064,-0.14013651503564484,-1.3759594889995164,0.10032791982198326,0.4154912383733613,0.5987625496112812,0.4154912383733613
Ischaemia,7,0.0017103855443904564,0.064859891581542,0.1725584182144997,5.460647531584595,-0.904172372171912,0.515146109513212,-0.5061752288404402,0.8635822453024063,-0.15089865333022934,-1.4425530283486723,0.10377450627050615,0.4170081230308933,0.6009413809224902,0.41700812303089335,0.0028461770127477092,0.15553627855047075,0.17326139088729017,4.608849943763253,-0.9889706379725104,0.27601480323848177,-0.24472504848062002,0.5845819634308032,-0.16420725923551413,-1.3830926344109595,0.10073568008660835,0.4170081230308933,0.6009413809224902,0.41700812303089335
Ischaemia,8,0.0018425292872477862,0.06987425322277985,0.3046979865771812,5.2620781592601595,-0.8147903244556916,0.5430944346940577,-0.39910358748038804,0.4688256078476047,-0.07006192827623153,-1.2867200645491568,0.09349369812227182,0.44950600233328697,0.6477146762715968,0.449506002333287,0.0028446619395037223,0.15544676346940406,0.1732045866022933,4.482906234621886,-0.9421049568200696,0.17804105301766363,-0.1763774860572372,0.48636455251805055,-0.16051013102386338,-1.3779646406742272,0.10084554715198821,0.44950600233328697,0.6477146762715968,0.449506002333287
Ischaemia,9,0.001812776864996187,0.06873954775423431,0.261348897535668,5.31969666410335,-1.2705637265750307,1.0629071132780517,-0.9532378708219363,1.2076147377624222,0.23778391005754618,-1.1146477741041458,0.08768934961376681,0.4486854150278267,0.6465793338573791,0.4486854150278268,0.002803641827185347,0.15320209984978272,0.182370820668693,4.834995069198128,-1.027999850185958,0.24591126454629111,-0.3035145936204939,0.5543504411439377,-0.1872898003653892,-1.3602338676443169,0.10235495103336693,0.4486854150278267,0.6465793338573791,0.4486854150278268
