time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg
0.0445,2.502734805,-0.071432865,2.44781484,-0.003358392,30.22697772,55.17854431
0.045,2.502734805,-0.071432865,2.448636995,0.01505789,30.06361106,55.06640608
0.0455,2.502570374,-0.068801968,2.447979271,0.007987353,29.90083846,54.82432991
0.046,2.502405943,-0.071926158,2.447650409,-0.006482582,30.00301688,54.66235246
0.0465,2.502570374,-0.068473105,2.448308133,0.010289389,29.73390743,54.40366322
0.047,2.502570374,-0.07209059,2.447979271,-0.000891925,29.89430379,54.15624712
0.0475,2.502570374,-0.068966399,2.448801426,0.015880046,30.32440366,54.06368858
0.048,2.502570374,-0.062389155,2.448308133,0.005520887,29.8836107,53.64836181
0.0485,2.502734805,-0.066006639,2.44781484,-0.002700667,30.0267793,53.60030257
0.049,2.503228098,-0.062060293,2.448801426,0.014235735,30.02737336,53.54987003
0.0495,2.502570374,-0.067486519,2.448308133,0.004863163,30.06182888,53.30601388
0.05,2.502899236,-0.070446279,2.449130288,0.025745911,29.99113567,53.12267678
0.0505,2.502570374,-0.06617107,2.448472564,0.017688788,29.99232379,53.0491046
0.051,2.502734805,-0.068966399,2.448308133,0.004205438,29.85984827,52.78863538
0.0515,2.502734805,-0.065184483,2.448801426,0.021470703,30.15925481,52.77024234
0.052,2.502570374,-0.070939572,2.448472564,0.010618251,29.9002444,52.93162646
0.0525,2.502570374,-0.071597296,2.44945915,0.030349981,29.81529373,52.4646805
0.053,2.502241512,-0.068801968,2.448636995,0.015551184,30.07371009,52.24752393
0.0535,2.502405943,-0.06913083,2.448143702,0.005356456,29.90796718,51.97340826
0.054,2.502734805,-0.064526759,2.448965857,0.024594893,30.01727433,51.78473123
0.0545,2.502734805,-0.066828794,2.448308133,0.00897394,29.85866015,51.50586897
0.055,2.502899236,-0.067157657,2.44945915,0.02854124,30.19252221,51.35160474
0.0555,2.503392529,-0.055154186,2.448636995,0.015386752,30.23173021,51.40203728
0.056,2.503228098,-0.058113946,2.448308133,0.002396696,30.07965069,50.9594176
0.0565,2.502899236,-0.055811911,2.449130288,0.021141841,29.97866039,51.0857956
0.057,2.503063667,-0.060909275,2.448308133,0.010124958,30.1836113,50.9594176
0.0575,2.503228098,-0.057456222,2.449623581,0.026896929,30.02440306,50.53281767
0.058,2.503228098,-0.056305204,2.448801426,0.013742442,30.18836378,50.24327557
0.0585,2.502899236,-0.06173143,2.448308133,0.003383283,29.66856076,50.29370811
0.059,2.503228098,-0.058442808,2.449130288,0.018675374,29.8836107,49.83803531
0.0595,2.503063667,-0.063540172,2.448308133,0.003876576,30.20856184,49.89499441
0.06,2.503228098,-0.06025155,2.449130288,0.024430462,29.88836318,49.55383313
0.0605,2.503392529,-0.057456222,2.448308133,0.010124958,30.00598718,49.58349932
0.061,2.503063667,-0.062882448,2.44781484,-0.00154965,30.07727445,49.44347487
0.0615,2.502899236,-0.060744844,2.448472564,0.011769269,30.01192779,49.24055807
0.062,2.502734805,-0.067979812,2.448143702,0.000259092,29.89014537,49.12189328
0.0625,2.502570374,-0.066828794,2.448965857,0.018346512,30.04460112,49.08926046
0.063,2.502899236,-0.067157657,2.448308133,0.002396696,30.04757142,48.68936011
0.0635,2.502405943,-0.072583883,2.447650409,-0.006647014,30.02559118,48.43126419
0.064,2.502405943,-0.071268434,2.448472564,0.008480647,29.95489797,48.28827311
0.0645,2.502077081,-0.076365798,2.44781484,-0.003687254,30.04816548,48.06636995
0.065,2.502405943,-0.073570469,2.448636995,0.015386752,29.99588815,48.17079496
0.0655,2.502570374,-0.070446279,2.448143702,0.003712145,29.95905639,47.79640754
0.066,2.502405943,-0.075379212,2.447650409,-0.005660427,29.808165,47.76911464
0.0665,2.502241512,-0.073899332,2.448472564,0.012262562,30.03628427,47.4190535
0.067,2.502241512,-0.079489989,2.44781484,-0.001056356,29.95252173,47.42854668
0.0675,2.502241512,-0.077516816,2.448636995,0.01949753,29.85212549,47.36387437
