Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_sAmplitudeles
IR,3,FallTime,Normal vs Congestion,0.94478806,0.866345382,1,66
IR,3,FallTime,Ischaemia vs Congestion,0.968499338,0.899962406,1,66
IR,3,PulseWidth,Normal vs Ischaemia,0.131781096,0.044459069,0.226895974,64
IR,3,PulseWidth,Normal vs Congestion,0.201563351,0.092083973,0.323567942,66
IR,3,PulseWidth,Ischaemia vs Congestion,0.623289495,0.486471881,0.760353535,66
IR,3,SystolicWidth,Normal vs Ischaemia,0.810816957,0.677768817,0.917739358,64
IR,3,SystolicWidth,Normal vs Congestion,0.076470672,0.005416667,0.167073219,66
IR,3,SystolicWidth,Ischaemia vs Congestion,0.061034215,0.000895317,0.147105981,66
IR,3,DiastolicWidth,Normal vs Ischaemia,0.118903609,0.030858488,0.218191171,64
IR,3,DiastolicWidth,Normal vs Congestion,0.422882716,0.293634146,0.579436982,66
IR,3,DiastolicWidth,Ischaemia vs Congestion,0.832804394,0.697982422,0.93634248,66
IR,3,RiseFall_ratio,Normal vs Ischaemia,0.181560053,0.059002463,0.314768343,64
IR,3,RiseFall_ratio,Normal vs Congestion,0.931739116,0.843130933,1,66
IR,3,RiseFall_ratio,Ischaemia vs Congestion,0.922499885,0.827685185,1,66
IR,3,Width_Ratio,Normal vs Ischaemia,0.129103337,0.023544383,0.248259134,64
IR,3,Width_Ratio,Normal vs Congestion,0.864756524,0.730673001,0.960939235,66
IR,3,Width_Ratio,Ischaemia vs Congestion,0.91604261,0.818505923,0.989001758,66
IR,9,RiseTime,Normal vs Ischaemia,0.897335572,0.801470588,0.964703057,72
IR,9,RiseTime,Normal vs Congestion,0.440908021,0.291446759,0.563548635,66
IR,9,RiseTime,Ischaemia vs Congestion,0.072184402,0.017763158,0.138659858,72
IR,9,FallTime,Normal vs Ischaemia,0.592794654,0.536406026,0.658605429,72
IR,9,FallTime,Normal vs Congestion,0.525014347,0.512620192,0.556547619,66
IR,9,FallTime,Ischaemia vs Congestion,0.424791384,0.363632787,0.482571098,72
IR,9,PulseWidth,Normal vs Ischaemia,0.631962154,0.493899166,0.753361158,72
IR,9,PulseWidth,Normal vs Congestion,0.438069192,0.304288329,0.571563374,66
IR,9,PulseWidth,Ischaemia vs Congestion,0.33669775,0.202613519,0.474075767,72
IR,9,SystolicWidth,Normal vs Ischaemia,0.897851302,0.819658248,0.963526182,72
IR,9,SystolicWidth,Normal vs Congestion,0.485969817,0.362792841,0.621261489,66
IR,9,SystolicWidth,Ischaemia vs Congestion,0.086076853,0.031615477,0.17078182,72
IR,9,DiastolicWidth,Normal vs Ischaemia,0.535676377,0.394114389,0.677101344,72
IR,9,DiastolicWidth,Normal vs Congestion,0.420855032,0.288432986,0.559297328,66
IR,9,DiastolicWidth,Ischaemia vs Congestion,0.418202141,0.264986455,0.568417828,72
IR,9,RiseTime,Normal vs Ischaemia,0.878451744,0.778118469,0.948060449,72
IR,9,RiseTime,Normal vs Congestion,0.440908021,0.291446759,0.563548635,66
IR,9,RiseTime,Ischaemia vs Congestion,0.093480096,0.030678705,0.171871385,72
IR,9,FallTime,Normal vs Ischaemia,0.185589309,0.072812052,0.317210858,72
IR,9,FallTime,Normal vs Congestion,0.525014347,0.512620192,0.556547619,66
IR,9,FallTime,Ischaemia vs Congestion,0.821091171,0.717857143,0.923076923,72
IR,9,PulseWidth,Normal vs Ischaemia,0.579230899,0.449171204,0.697193363,72
IR,9,PulseWidth,Normal vs Congestion,0.438069192,0.304288329,0.571563374,66
IR,9,PulseWidth,Ischaemia vs Congestion,0.376645684,0.233571981,0.506430588,72
IR,9,SystolicWidth,Normal vs Ischaemia,0.87409237,0.786555425,0.944155413,72
IR,9,SystolicWidth,Normal vs Congestion,0.485969817,0.362792841,0.621261489,66
IR,9,SystolicWidth,Ischaemia vs Congestion,0.111210866,0.04845679,0.201424097,72
IR,9,DiastolicWidth,Normal vs Ischaemia,0.502675285,0.361911197,0.640929116,72
IR,9,DiastolicWidth,Normal vs Congestion,0.420855032,0.288432986,0.559297328,66
IR,9,DiastolicWidth,Ischaemia vs Congestion,0.453834434,0.292853436,0.6130717,72
IR,9,RiseFall_ratio,Normal vs Ischaemia,0.277073784,0.149557182,0.407480469,72
IR,9,RiseFall_ratio,Normal vs Congestion,0.570400389,0.442088554,0.717303241,66
IR,9,RiseFall_ratio,Ischaemia vs Congestion,0.774412917,0.650153968,0.878501157,72
IR,9,Width_Ratio,Normal vs Ischaemia,0.348474738,0.2100324,0.486266889,72
IR,9,Width_Ratio,Normal vs Congestion,0.43861173,0.290569783,0.584517332,66
IR,9,Width_Ratio,Ischaemia vs Congestion,0.622306081,0.47471196,0.752299059,72
IR,15,RiseTime,Normal vs Ischaemia,0.836018735,0.738705526,0.907055622,86
IR,15,RiseTime,Normal vs Congestion,0.444432915,0.279838474,0.567103936,68
IR,15,RiseTime,Ischaemia vs Congestion,0.203046729,0.110481599,0.320231903,90
IR,15,FallTime,Normal vs Ischaemia,0.492130267,0.399847848,0.586305422,86
IR,15,FallTime,Normal vs Congestion,0.551953001,0.474471623,0.621629003,68
IR,15,FallTime,Ischaemia vs Congestion,0.555135414,0.445839763,0.641346559,90
IR,15,PulseWidth,Normal vs Ischaemia,0.715320533,0.600398997,0.814634342,86
IR,15,PulseWidth,Normal vs Congestion,0.574910539,0.448032714,0.726589494,68
IR,15,PulseWidth,Ischaemia vs Congestion,0.371639496,0.259467943,0.505512175,90
IR,15,SystolicWidth,Normal vs Ischaemia,0.842440672,0.753763013,0.913822922,86
IR,15,SystolicWidth,Normal vs Congestion,0.571837658,0.425075758,0.705651944,68
IR,15,SystolicWidth,Ischaemia vs Congestion,0.242965812,0.148138776,0.356463175,90
IR,15,DiastolicWidth,Normal vs Ischaemia,0.638281124,0.5270016,0.753268634,86
IR,15,DiastolicWidth,Normal vs Congestion,0.59846834,0.436057562,0.73115254,68
IR,15,DiastolicWidth,Ischaemia vs Congestion,0.448281052,0.327612066,0.585556989,90
IR,15,RiseTime,Normal vs Ischaemia,0.904829476,0.830729638,0.95567277,86
IR,15,RiseTime,Normal vs Congestion,0.416311781,0.263802575,0.542900433,68
IR,15,RiseTime,Ischaemia vs Congestion,0.14467017,0.064244682,0.254652576,90
IR,15,FallTime,Normal vs Ischaemia,0.742286955,0.616356698,0.850116995,86
IR,15,FallTime,Normal vs Congestion,0.15785759,0.050855263,0.278858286,68
IR,15,FallTime,Ischaemia vs Congestion,0.332751247,0.215315231,0.472603813,90
IR,15,PulseWidth,Normal vs Ischaemia,0.82187307,0.727747726,0.912375191,86
IR,15,PulseWidth,Normal vs Congestion,0.539047563,0.41109781,0.699220338,68
IR,15,PulseWidth,Ischaemia vs Congestion,0.23350006,0.134474733,0.357470202,90
IR,15,SystolicWidth,Normal vs Ischaemia,0.889862249,0.813838612,0.949158848,86
IR,15,SystolicWidth,Normal vs Congestion,0.534871476,0.380021645,0.670196259,68
IR,15,SystolicWidth,Ischaemia vs Congestion,0.180946608,0.100275926,0.291085795,90
IR,15,DiastolicWidth,Normal vs Ischaemia,0.742320909,0.624858597,0.845756891,86
IR,15,DiastolicWidth,Normal vs Congestion,0.56197624,0.403438853,0.700804366,68
IR,15,DiastolicWidth,Ischaemia vs Congestion,0.341937117,0.226301364,0.476283578,90
IR,15,RiseFall_ratio,Normal vs Ischaemia,0.323842925,0.200506196,0.431422005,86
IR,15,RiseFall_ratio,Normal vs Congestion,0.615433331,0.476114719,0.747173042,68
IR,15,RiseFall_ratio,Ischaemia vs Congestion,0.713391257,0.596705592,0.815370946,90
IR,15,Width_Ratio,Normal vs Ischaemia,0.451030025,0.318296761,0.582424498,86
