Datum_Area_Ratio,Rise_Decay_Ratio,Skewness,Kurtosis,Variance,b_a,c_a,d_a,e_a,State,Channel,Pulse_ID,PI_Ratio,Amplitude_Ratio,Delta_A_Ratio
3.49450405163713,0.14557338086748986,-0.09736485380267941,-1.304790843827709,2.61311597802512e-07,-1.1214493600842532,0.6277079938307375,-0.8236196689366194,0.393255435006689,Ischaemia,Red,0,,,
3.917926627145671,0.16074653822997226,-0.26685032504916345,-1.3070274241597089,7.034872269621902e-07,-0.9693919957608754,0.5357205859962314,-0.5186505423051219,0.5357205859962314,Ischaemia,IR,0,,,
,,,,,,,,,Ischaemia,Dual,0,0.4574531871809987,0.6592974572887799,0.6595979084881657
2.714317942513608,0.2646868947708028,-0.27077850909988216,-1.250822040391671,2.3721209273603363e-07,-0.8614205673711279,0.999999999999741,-0.9217813944158421,0.999999999999741,Ischaemia,Red,1,,,
4.85866744287785,0.18083182640143575,-0.1408802034830777,-1.3562446980703446,7.405359972314942e-07,-0.9647960225765012,0.4712825614247922,-0.4152307756366745,0.4712825614247922,Ischaemia,IR,1,,,
,,,,,,,,,Ischaemia,Dual,1,0.44723170304908844,0.6445417585148411,0.6448499069530448
2.7747090123180094,0.1625148279952454,-0.08010547877360394,-0.8813453746142903,2.8577282229201505e-07,-0.7802320435785534,0.9999999999997667,-0.8346851620149346,0.9999999999997667,Ischaemia,Red,2,,,
5.23919161322961,0.18357487922704205,-0.13525611559950124,-1.3630258716063313,7.408796254817836e-07,-0.8608064745139181,0.5452283563118022,-0.3540693543373255,0.5452283563118022,Ischaemia,IR,2,,,
,,,,,,,,,Ischaemia,Dual,2,0.508075113867248,0.7322441081017065,0.732505714426053
3.0433503048667774,0.3469529085872336,0.09590489980449741,-1.074109648059908,2.3692298282152852e-07,-0.9168247584340978,0.9999999999997309,-0.8948722518551203,0.39805858272972433,Ischaemia,Red,3,,,
4.755228080704304,0.16536848412221897,-0.14049880862305736,-1.3288464910620938,7.440185379019585e-07,-0.9314427583144944,0.5103589352479154,-0.4129725988403534,0.5103589352479154,Ischaemia,IR,3,,,
,,,,,,,,,Ischaemia,Dual,3,0.4811968483433213,0.6934561099343247,0.6937459701923351
3.2885048715142378,0.20172201722015978,-0.2092658234511538,-1.0962545201142146,2.4161151974962327e-07,-0.7443080689196595,0.8634226713442039,-0.9126104949964349,0.8634226713442039,Ischaemia,Red,4,,,
4.904382853992378,0.17076093469142176,-0.16652572529187765,-1.3688430843257964,7.514534341553237e-07,-0.9429771245549748,0.41113633596949506,-0.43804589633832014,0.41113633596949506,Ischaemia,IR,4,,,
,,,,,,,,,Ischaemia,Dual,4,0.4190915288894359,0.6039522030597243,0.6042744020551465
3.9520388320172577,0.1762220881110334,-0.191982699687747,-1.4305963414066203,2.6963682151331047e-07,-0.907480233202029,0.854919444235045,-0.9800664456169522,0.854919444235045,Ischaemia,Red,5,,,
5.371603639518119,0.16497310221158606,-0.17426858016893412,-1.3413794349648716,7.590168660552449e-07,-1.169154481726323,0.42627738058268905,-0.6721439527922908,0.42627738058268905,Ischaemia,IR,5,,,
,,,,,,,,,Ischaemia,Dual,5,0.4220292072102659,0.6082121154414502,0.6085390192472341
3.4541496556779987,0.14771395076200775,-0.2992783220434902,-1.37666160104675,2.8009229621877583e-07,-0.8160943515543634,0.9999999999997343,-0.9558331050535339,0.9999999999997343,Ischaemia,Red,6,,,
4.895328075056014,0.17245508982034896,-0.1421910722565377,-1.3517444113519135,7.698436883788418e-07,-1.146019436744639,0.6903084518836469,-0.5602068546321791,0.6903084518836469,Ischaemia,IR,6,,,
,,,,,,,,,Ischaemia,Dual,6,0.4367720833544722,0.6294301406919494,0.6297544061752477
4.8977368185763765,0.17245508982034896,-0.17623202621992942,-1.4152149629069795,2.882502164687705e-07,-0.6030516048482046,0.7822489878316858,-0.5163168809588261,0.7822489878316858,Ischaemia,Red,7,,,
4.739573296760888,0.15789473684209593,-0.16538524631283363,-1.3595763694240652,7.613610622868802e-07,-1.039460057389031,0.503955988706084,-0.5760903523181609,0.503955988706084,Ischaemia,IR,7,,,
,,,,,,,,,Ischaemia,Dual,7,0.4207045703179014,0.6062679895831257,0.6065980058075466
4.729832309227532,0.2894039735099146,-0.07894244406175233,-1.2301472318294049,3.013525716524053e-07,-0.8177946358928256,0.6378349217224258,-0.7249505101749666,0.6378349217224258,Ischaemia,Red,8,,,
4.678406717034069,0.1568627450980299,-0.1637916778423478,-1.3573407430696212,7.626556315789467e-07,-0.9825920677179912,0.5152976590842351,-0.45994075713133675,0.5152976590842351,Ischaemia,IR,8,,,
,,,,,,,,,Ischaemia,Dual,8,0.477340906803066,0.6878235551845496,0.6881188757261121
