State,PI_Ratio,Amplitude_Ratio,Delta_A_Ratio,Red_Datum_Area_Ratio,Red_Rise_Decay_Ratio,Red_Skewness,Red_Kurtosis,Red_Variance,Red_b_a,Red_c_a,Red_d_a,Red_e_a,IR_Datum_Area_Ratio,IR_Rise_Decay_Ratio,IR_Skewness,IR_Kurtosis,IR_Variance,IR_b_a,IR_c_a,IR_d_a,IR_e_a
Normal,0.4490735520303681,0.6473954606250862,0.4487755769135865,-0.8912965211332592,0.16115196078430385,-0.2530659430429953,-1.2187851162991898,0.09325179969563073,-1.048135570446879,0.41617695791451537,-0.3788103041951032,0.21874322675143423,-0.47742649266996345,0.2014925373134203,-0.1321521297970441,-1.3702785694646837,0.10253342355758757,-0.9933515654898725,0.25157235718593196,-0.21592731823596542,0.1967357144839408
Normal,0.4197047086959824,0.605089381607645,0.41941258448991464,-0.6694162995287446,0.20232708468001276,-0.35724989440265364,-1.3635464889107076,0.10412061069579423,-0.9284104886017194,0.3476927243351045,-0.337440224578203,0.27846023686225513,-0.49349593911618483,0.2054965646470827,-0.13525514617737627,-1.3408541474481626,0.10244773571997504,-1.081893251876299,0.19907144948069294,-0.1877303609655826,0.188071841715038
Normal,0.4362274234649884,0.628892747021709,0.43593335393263377,-0.26738179544513574,0.2576228998133007,-0.06019636077621958,-1.5734420573711518,0.11142934567547333,-0.5550878515301243,0.40682710185971815,-0.3607250968385197,0.36491035294499996,-0.4798218495654054,0.20728643216079098,-0.14296593310979427,-1.357909214395662,0.10365421826988847,-0.9669029025610286,0.195369662762575,-0.20159321902873872,0.14427497960086347
Normal,0.4757201669053313,0.685814016503541,0.4754215161501543,-0.7639033480996938,0.34199438202244786,-0.27944031659655927,-1.2828472383202043,0.08978603922667167,-0.9552231294734361,0.38162721649593884,-0.4013485055568897,0.39606268352492235,-0.45906323837178653,0.2118164676304078,-0.132577108106034,-1.353757355392568,0.1045000816668606,-0.934416012429909,0.2275167122889365,-0.22142732340217808,0.16385929437193222
Normal,0.5063798886406782,0.7300631989091482,0.5060780551816213,-0.8529657201899278,0.19974715549935526,-0.2575192469428665,-1.0633872671228364,0.08076635401813347,-0.9131239983541919,0.2634002796688777,-0.15942108672493466,0.3109160338508463,-0.47986920560513135,0.2057716436637261,-0.15320723593308055,-1.3294426130778905,0.10107700768943233,-1.0026609131154613,0.26229184701189295,-0.22859139073936546,0.20706707366494614
Normal,0.45472877512231,0.6556601552083821,0.4544364170769902,-0.5277253950886045,0.20434782608694382,-0.40577434189062866,-1.1977345692632182,0.0960906726670199,-1.2269525740148794,0.4582200164345191,-0.3930827441369496,0.5282193736795784,-0.4519959636595199,0.21259351620946304,-0.1947423665748847,-1.2923416374169643,0.09884068410232524,-1.0072946185271674,0.18232614410331704,-0.16720134327421493,0.13786367633879265
Normal,0.444136757103042,0.6404002181069391,0.44385508752185016,-0.8805956679342172,0.3137254901960572,-0.19066023090960227,-0.9415094226176013,0.0707662302037357,-0.7796943202020306,0.3118245250786332,-0.5850815276090646,0.6291103850477201,-0.7444735136693608,0.19454770755884793,-0.15587117235329062,-0.9081685207642969,0.06828199246089181,-0.9577326333435258,0.17502284114037797,-0.18123145447507877,0.20898588726938783
Ischaemia,0.4960468157239858,0.7149148850940201,0.4958593345580951,-0.8744534045515137,0.19963369963368743,-0.20536830490747757,-1.1340520533904335,0.07955675577925418,-1.3665852712257183,0.8849016885840454,-0.5928292768134977,0.5470706605930336,-0.5649005845818738,0.1738601823708101,-0.24905543694484236,-1.3347970930762336,0.09971639818699951,-0.9777521852504995,0.36855681266758095,-0.3287455573004163,0.2073845310911918
Ischaemia,0.42539594414437837,0.6130677776867954,0.42520994208051616,-1.4474291844722014,0.3001302083333138,-0.22090806169864727,-1.3252327125774919,0.08823283328903755,-1.089775857273581,0.3773558968258468,-0.41071003258522293,0.47665293871987413,-0.6271812296484726,0.19400244798040428,-0.1405423826303572,-1.3748024836075532,0.1021109750186652,-0.8778441976541123,0.24093721467152232,-0.23929638950847823,0.19332245562963796
Ischaemia,0.49255970252987025,0.7098905104811588,0.49237016494122526,-2.173900498792976,0.16859403530126787,-0.039049789844101,-0.8977086431072245,0.07324047492290128,-0.9688459123172825,0.2222265693646513,-0.36249830697092017,0.4708281837059234,-0.6312716377296066,0.19561243144422938,-0.1261384928964614,-1.3881227141541537,0.10362081908366265,-0.9669189343055963,0.20929305479619284,-0.26568522463034633,0.29493406313350334
Ischaemia,0.4723253648299681,0.6806669780083292,0.4721321133801602,-0.9458942640165697,0.3645690834473075,0.04747794503914282,-1.1484613613088983,0.07228163602091772,-0.8389224870422678,0.7830735034684929,-1.19731803413237,0.941589225162075,-0.6883949608842815,0.18121212121211022,-0.1314509309928182,-1.3569800606679894,0.09960186489399094,-0.9663758198983794,0.28409874043634464,-0.22850415683141187,0.2013558434751055
Ischaemia,0.4057152793453133,0.5846994416278812,0.40553058069406417,-4.338446499645687,0.20403899721447047,-0.3183499345683184,-0.8461804563916617,0.07709654606217708,-0.879707319015584,0.3291643978145189,-0.41335912130503216,0.3229903060312806,-0.6338483397477863,0.18617343844753267,-0.1595087846385991,-1.3920847520053485,0.10299758406604811,-0.8900717622304428,0.1959728593860136,-0.22400464733546754,0.20407325405173116
Ischaemia,0.4187992005672754,0.6035323927678329,0.4186102111620898,0.07034125052096181,0.31466828971391875,0.012680083975628793,-1.557966010439939,0.10376292489126517,-0.8062972135044821,0.8332391298735764,-0.5549040943276211,0.32561384958261724,-0.6550954015297265,0.1786795881283962,-0.17450331595525953,-1.3631089753764245,0.1007798446786736,-1.1191246344173351,0.22688748356711486,-0.26986285114456804,0.21455285803940252
Ischaemia,0.4154662827436476,0.598749196152565,0.4152756661123819,-1.498562313456706,0.1696606786427033,-0.5112844147188773,-1.1987165728335827,0.08879598452885416,-0.8836521255203836,0.5108470789662365,-0.4150133675626527,0.3260022263135424,-0.62296343989853,0.18655360387642722,-0.14013651503564484,-1.3759594889995164,0.10032791982198326,-1.1521934466085186,0.2845869555462396,-0.2336638060734921,0.2250023829558998
Ischaemia,0.43297442211012327,0.6239307121795723,0.43278335102643645,-0.16959232678641964,0.2892363199037709,0.0009351468309354366,-1.5078610103520649,0.10263029849585796,-0.6780537569025287,0.8552054246456556,-0.2912702708486666,0.5151454435778972,-0.6699789438830017,0.17326139088727976,-0.16420725923551413,-1.3830926344109595,0.10073568008660835,-0.9889691720440805,0.28553867961664847,-0.29043677450301825,0.210628311360916
Ischaemia,0.4494962331200688,0.6477070262773675,0.44930375905534703,-1.4433527164477848,0.3219034289712861,-0.09334580457397015,-1.2620534926231923,0.0891086099298527,-0.8147893858819263,0.6130746175516697,-0.3253581873558347,0.3490982596834703,-0.6823373091749776,0.17320458660228286,-0.16051013102386338,-1.3779646406742272,0.10084554715198821,-0.9421036083054721,0.2257511888612219,-0.18781727598863182,0.1836821832055804
Ischaemia,0.47255852182704133,0.6809707929262823,0.4723674472044943,-1.207607867930981,0.2978177150192363,0.23034311458861392,-1.099425026438198,0.08416350842324448,-1.0012480139892996,0.2373176484258008,-0.9220998587225667,0.9588123922736411,-0.6355190499837828,0.1823708206686819,-0.1872898003653892,-1.3602338676443169,0.10235495103336693,-1.0279981769973747,0.245910864297283,-0.3035140996154093,0.20055745610536538
Ischaemia,0.43563742734294814,0.6277191951933345,0.43544833742213757,-1.363960912714213,0.1457227138642982,-0.22613435529464948,-1.3078956275361644,0.08617784436442494,-1.0521040499731507,0.5955258143259877,-0.5248028149984553,0.9879551335303679,-0.6039893376333527,0.18480243161093102,-0.18669605709797965,-1.3575006569856152,0.1037451849145238,-0.9420258863661615,0.2729949442337606,-0.2577625295232151,0.20099255658464765
Ischaemia,0.4866815676885283,0.7013845246971712,0.48649159187170987,-1.2741269591665294,0.16825208085611365,-0.14832272859804463,-1.1435584676106574,0.07511799742114826,-1.102766513011215,0.5362475857013305,-0.6408651435866345,0.484134399977094,-0.6142638232435825,0.18776499091458584,-0.1521211975844296,-1.3693369985735426,0.10571052651817517,-0.9281468377648928,0.2444439615462756,-0.28259146769491755,0.25938668729738845
