Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
Red,15,DatumArea_norm,Normal vs Congestion,0.5645432403863164,0.4701532430506058,0.6600393225171244,130
Red,15,DatumArea_norm,Ischaemia vs Congestion,0.5516057725494425,0.4362244670489464,0.6614017268119653,132
Red,21,Skewness,Normal vs Ischaemia,0.4100035776109428,0.3051754711899825,0.5239649942300513,130
Red,21,Skewness,Normal vs Congestion,0.4806019589382609,0.37914910334529345,0.5885351310108187,124
Red,21,Skewness,Ischaemia vs Congestion,0.5519575850250876,0.4258662908148663,0.6456447457346546,130
Red,21,Kurtosis,Normal vs Ischaemia,0.5854647143978944,0.4804977344107832,0.6872088432705246,130
Red,21,Kurtosis,Normal vs Congestion,0.4830306960190455,0.38435446997682166,0.5828314964960887,124
Red,21,Kurtosis,Ischaemia vs Congestion,0.41688824640698185,0.3104228015526486,0.5155739454384829,130
Red,21,Width_Ratio,Normal vs Ischaemia,0.4696139495375057,0.36234340659340664,0.5888233102697007,130
Red,21,Width_Ratio,Normal vs Congestion,0.4999604402021713,0.40722294654498037,0.5864889660148281,124
Red,21,Width_Ratio,Ischaemia vs Congestion,0.5407270526213195,0.4360452525546865,0.6444235980056265,130
Red,21,DatumArea_norm,Normal vs Ischaemia,0.5762305981688832,0.46490006584586757,0.6897500478153543,130
Red,21,DatumArea_norm,Normal vs Congestion,0.5479224672575619,0.45738011675980195,0.6448755787037037,124
Red,21,DatumArea_norm,Ischaemia vs Congestion,0.4853407402570419,0.3939577175001615,0.5887278325123153,130
IR,3,Skewness,Normal vs Ischaemia,0.890353705517763,0.7924501050420167,0.9881773399014778,64
IR,3,Skewness,Normal vs Congestion,0.7247486024867349,0.600925819252432,0.8336923996572313,66
IR,3,Skewness,Ischaemia vs Congestion,0.19876579307517603,0.08092490372272146,0.3389910468319559,66
IR,3,Kurtosis,Normal vs Ischaemia,0.11379785351769374,0.01169117647058824,0.21159543504901976,64
IR,3,Kurtosis,Normal vs Congestion,0.7623073281822634,0.6389854067692587,0.8912837300990805,66
IR,3,Kurtosis,Ischaemia vs Congestion,0.8832904865474248,0.7528970106718409,0.9754367954911434,66
IR,3,Width_Ratio,Normal vs Ischaemia,0.11592483276581116,0.02150064192343604,0.21384800903119883,64
IR,3,Width_Ratio,Normal vs Congestion,0.3977382661423165,0.262447902548116,0.5453215113089722,66
IR,3,Width_Ratio,Ischaemia vs Congestion,0.834876750467359,0.7022512430269222,0.9384220543400288,66
IR,3,DatumArea_norm,Normal vs Ischaemia,0.2393798090870679,0.139781746031746,0.3519638480392157,64
IR,3,DatumArea_norm,Normal vs Congestion,0.08389670571244294,0.0,0.17464985994397755,66
IR,3,DatumArea_norm,Ischaemia vs Congestion,0.08301180988891066,0.0,0.17100183823529416,66
IR,9,Skewness,Normal vs Ischaemia,0.6881505028232939,0.55140625,0.8243555426556587,72
IR,9,Skewness,Normal vs Congestion,0.5257944783669574,0.3947748288364933,0.6658096464308865,66
IR,9,Skewness,Ischaemia vs Congestion,0.33642374619169374,0.2135771413828689,0.46116064491064496,72
IR,9,Kurtosis,Normal vs Ischaemia,0.27262206032296044,0.16206563706563706,0.40506435258862755,72
IR,9,Kurtosis,Normal vs Congestion,0.45752056695510585,0.31126702632384456,0.612243790661426,66
IR,9,Kurtosis,Ischaemia vs Congestion,0.6952059339154161,0.53328125,0.8365910967353403,72
IR,9,Width_Ratio,Normal vs Ischaemia,0.37861476596767263,0.22743627835424707,0.5052792000639261,72
IR,9,Width_Ratio,Normal vs Congestion,0.43776896032807,0.30098801327944824,0.5688654171412794,66
IR,9,Width_Ratio,Ischaemia vs Congestion,0.594737460955009,0.4586236520572037,0.7361708192541356,72
IR,9,DatumArea_norm,Normal vs Ischaemia,0.7597328263624965,0.6402707171457171,0.8716283474662705,72
IR,9,DatumArea_norm,Normal vs Congestion,0.5232661541856217,0.40179723502304143,0.6639035087719298,66
IR,9,DatumArea_norm,Ischaemia vs Congestion,0.2788924461830083,0.17836495535714286,0.3976749147349156,72
IR,15,Skewness,Normal vs Ischaemia,0.4051604282227045,0.29987785212284584,0.5285843920145191,86
IR,15,Skewness,Normal vs Congestion,0.4703225183493743,0.33505026249850856,0.5882498204022989,68
IR,15,Skewness,Ischaemia vs Congestion,0.593579361061905,0.4630030959752322,0.699704728652097,90
IR,15,Kurtosis,Normal vs Ischaemia,0.6420978907147001,0.5252494181098567,0.754484256781313,86
IR,15,Kurtosis,Normal vs Congestion,0.6033709282666345,0.4393476534999027,0.7383068081343944,68
IR,15,Kurtosis,Ischaemia vs Congestion,0.4135594384823935,0.2834714261973448,0.5300939659755449,90
IR,15,Width_Ratio,Normal vs Ischaemia,0.67567429009245,0.5557320024198428,0.7935657148923599,86
IR,15,Width_Ratio,Normal vs Congestion,0.5973779760528809,0.44459312393094064,0.7319042174796749,68
IR,15,Width_Ratio,Ischaemia vs Congestion,0.3881646361651376,0.27204084269035245,0.5071578947368421,90
IR,15,DatumArea_norm,Normal vs Ischaemia,0.7136364272856113,0.6177732160312805,0.8184812675070028,86
IR,15,DatumArea_norm,Normal vs Congestion,0.5446128068128956,0.4110913077198425,0.6839701604623749,68
IR,15,DatumArea_norm,Ischaemia vs Congestion,0.3591151172463708,0.2570622157244964,0.49802631578947365,90
IR,21,Skewness,Normal vs Ischaemia,0.345334418008491,0.2411693798272623,0.4452389173060528,119
IR,21,Skewness,Normal vs Congestion,0.4047090261966522,0.3060513549682168,0.5042645820211382,111
IR,21,Skewness,Ischaemia vs Congestion,0.5886507818144918,0.4936776901844015,0.6779478087075914,124
IR,21,Kurtosis,Normal vs Ischaemia,0.5690088698927607,0.4735631752701081,0.6569134053287546,119
IR,21,Kurtosis,Normal vs Congestion,0.5580850893334129,0.4610161036103015,0.6614410915881503,111
IR,21,Kurtosis,Ischaemia vs Congestion,0.45905396380484903,0.36313819476511194,0.5496483176679107,124
IR,21,Width_Ratio,Normal vs Ischaemia,0.5945565446771044,0.49949373799615887,0.6916370306068158,119
IR,21,Width_Ratio,Normal vs Congestion,0.528789894442449,0.43856063218390806,0.6364460750775408,110
IR,21,Width_Ratio,Ischaemia vs Congestion,0.4144471780716967,0.32301724175921026,0.5013712626325568,123
IR,21,DatumArea_norm,Normal vs Ischaemia,0.5685940852283021,0.46318496441824386,0.6901806649310328,119
IR,21,DatumArea_norm,Normal vs Congestion,0.49720888785211703,0.40548458992742376,0.6010904785643071,111
IR,21,DatumArea_norm,Ischaemia vs Congestion,0.41988780789830116,0.3199540461122785,0.5291209902317269,124
Red/IR_Ratio,3,DatumArea_norm_ratio,Normal vs Ischaemia,0.6696121912771038,0.6470365852994823,0.6887206560780125,2848
Red/IR_Ratio,3,DatumArea_norm_ratio,Normal vs Congestion,0.5713423164787348,0.5495047874259752,0.5931636416779066,2478
Red/IR_Ratio,3,DatumArea_norm_ratio,Ischaemia vs Congestion,0.3711834092119811,0.3531770292274912,0.38801968482049165,3022
Red/IR_Ratio,9,DatumArea_norm_ratio,Normal vs Ischaemia,0.4329594942183796,0.4170271344492792,0.4495441959991595,4164
Red/IR_Ratio,9,DatumArea_norm_ratio,Normal vs Congestion,0.47542335611434217,0.459636046731211,0.4919170635734192,4026
Red/IR_Ratio,9,DatumArea_norm_ratio,Ischaemia vs Congestion,0.5359332326806455,0.5182046706160632,0.5554077701599759,4230
Red/IR_Ratio,15,DatumArea_norm_ratio,Normal vs Ischaemia,0.4738342859638455,0.45878098095909575,0.4903248607106434,5698
Red/IR_Ratio,15,DatumArea_norm_ratio,Normal vs Congestion,0.5335350200523911,0.5165507361621671,0.548562088079119,4420
Red/IR_Ratio,15,DatumArea_norm_ratio,Ischaemia vs Congestion,0.55304239294645,0.5370448658596056,0.5671407435989244,5958
Red/IR_Ratio,21,DatumArea_norm_ratio,Normal vs Ischaemia,0.5290652588761161,0.5156682739903378,0.5414882957127936,7774
Red/IR_Ratio,21,DatumArea_norm_ratio,Normal vs Congestion,0.5450489576548077,0.5303000480061945,0.557723624039772,6882
Red/IR_Ratio,21,DatumArea_norm_ratio,Ischaemia vs Congestion,0.5197589859929175,0.5083418057647039,0.5330631523486636,8084
