time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg,Red_processed,IR_processed
2.5525,2.51654701219802,-0.0694596919765856,2.34142796414793,0.01440016596588,10.65766684,41.19410761,0.000594096853449078,0.0003505780633900761
2.553,2.51687587427346,-0.0664999321925778,2.34208568824711,0.0323231545268993,11.13588562,41.28607282,0.0005945680518538729,0.0003501463117829184
2.5535,2.5170403053112,-0.0589361016644835,2.3417568261975,0.0206485473259513,10.78538987,41.29734598,0.0005950096497064647,0.0003496193070881244
2.5540000000000003,2.51687587427346,-0.0637046035139605,2.34159239517271,0.0265680664826094,10.60182514,41.46110339,0.0005954053375461076,0.0003491120862756598
2.5545,2.5170403053112,-0.0632113102183663,2.34208568824711,0.0290345327902793,10.88222174,41.29437936,0.0005958208470996036,0.00034867391090751915
2.555,2.51671144323574,-0.0664999321925778,2.3419212572223,0.0190042364445191,10.74974623,41.31336572,0.0005961738651568908,0.00034817345842415656
2.5555,2.51687587427346,-0.0678153809846252,2.34274341234646,0.0379138114609968,10.7170729,41.25699995,0.0005965628954139452,0.0003477754971651983
2.556,2.5170403053112,-0.0574562217837572,2.3419212572223,0.0273902219189956,10.87925144,41.50560269,0.0005969386305251928,0.00034721715676508104
2.5565,2.5170403053112,-0.0592649638604314,2.3419212572223,0.0323231545268993,10.62142914,41.20834738,0.0005972847678710441,0.0003467447754290379
2.557,2.51736916738673,-0.0538387376380234,2.34241455029676,0.0344607586514565,10.60479545,41.22080719,0.0005976507792491455,0.00034632533357275826
2.5575,2.5170403053112,-0.0566340662951994,2.34241455029676,0.0250881866958625,10.74558781,41.3845646,0.0005979380926645045,0.00034586050690456387
2.5580000000000003,2.51720473634896,-0.0559763419047307,2.34290784337133,0.044819917054016,10.63746878,41.40236432,0.0005982617238456842,0.000345449288359829
2.5585,2.51736916738673,-0.0551541864171166,2.34225011927193,0.0295278260512776,10.65647872,41.39465111,0.0005985723779042908,0.00034492734814276535
2.559,2.5170403053112,-0.0592649638604314,2.34159239517271,0.0319942923535938,10.61845884,41.34125195,0.0005988207633571695,0.00034440924604177414
2.5595,2.51720473634896,-0.0581139461749812,2.34225011927193,0.0362695006003964,10.80499387,41.54891534,0.000599105404394592,0.00034402604333903954
2.56,2.5170403053112,-0.0633757413168767,2.3419212572223,0.0249237556083468,10.75390466,41.51628252,0.0005993440129525365,0.0003435476372990683
2.5605,2.51687587427346,-0.0635401724154081,2.34307227439621,0.0430111751163393,10.7396472,41.50560269,0.0005995693470649793,0.000343221066641491
2.561,2.5170403053112,-0.0600871193506689,2.34241455029676,0.0303499814858783,10.58934987,41.15020163,0.0005998141673303142,0.0003427179201582548
2.5615,2.51671144323574,-0.0638690346125341,2.3417568261975,0.0367627938587837,10.95588526,41.74055898,0.0005999961933800182,0.00034221876237457117
2.562,2.51687587427346,-0.060415981546911,2.34241455029676,0.0354473451693563,10.92321192,41.41660409,0.0006002139622375488,0.0003418546533351307
2.5625,2.51671144323574,-0.065020052303139,2.34208568824711,0.0247593245208111,10.7366769,41.45813677,0.0006003851968870026,0.00034139549012610846
2.563,2.51687587427346,-0.0635401724154081,2.34307227439621,0.0407091399194941,10.58934987,41.94288245,0.0006005756681487685,0.000341071810601987
2.5635,2.5170403053112,-0.0623891547261305,2.34225011927193,0.0287056706161813,10.69152829,41.73759236,0.0006007526068325574,0.0003405714724127523
2.564,2.51654701219802,-0.0691308297780244,2.3417568261975,0.0288701017032403,10.6748946,41.7583587,0.0006008502421045382,0.00034010781076991694
2.5645,2.51687587427346,-0.067322087687449,2.34241455029676,0.0329808788732728,10.77172647,41.66698681,0.0006010163894475457,0.00033976261642706647
2.565,2.51621815012264,-0.0730771761663444,2.3417568261975,0.0204841162378979,10.76697399,41.75420543,0.0006010700034900336,0.0003392892859180306
2.5655,2.51671144323574,-0.0701174163739616,2.34274341234646,0.0379138114609968,10.69093423,41.83430417,0.0006012246738644787,0.00033898389569374715
2.566,2.51654701219802,-0.0689663986787755,2.3419212572223,0.024266031258085,10.76519181,41.94288245,0.0006012995901326536,0.0003385012992802704
2.5665,2.51654701219802,-0.0722550206677721,2.34142796414793,0.0222928582053891,10.71588478,42.15885237,0.0006013770316326634,0.0003380548293629699
2.567,2.51654701219802,-0.0707751407716762,2.34225011927193,0.0275546530062133,10.78063738,41.69012644,0.000601440502198062,0.00033774277401749304
2.5675,2.51638258116032,-0.0770235225668715,2.34159239517271,0.0171954944726375,10.8240038,41.7411523,0.0006014735058854092,0.00033728575479716324
2.568,2.51638258116032,-0.0738993316654465,2.34241455029676,0.0347896208241688,10.85845932,41.77022518,0.0006015088174280671,0.0003369798409333827
2.5685,2.51671144323574,-0.0724194517674442,2.3417568261975,0.0206485473259513,10.99925168,41.89363656,0.0006015629439748083,0.0003365291482500272
2.569,2.51621815012264,-0.0763657981659346,2.34126353312316,0.0186753742679931,10.76162744,41.88651667,0.0006015208477048893,0.0003360977290293403
2.5695,2.51654701219802,-0.0740637627653306,2.34208568824711,0.0296922571382374,10.77944926,41.84617064,0.0006015468477615917,0.00033580036221231676
2.57,2.51638258116032,-0.0778456780685206,2.34142796414793,0.0139068726993811,10.72063726,41.88888997,0.0006015094044213083,0.0003353576575702792
2.5705,2.51638258116032,-0.0730771761663444,2.34225011927193,0.0329808788732728,10.76994429,41.98026186,0.0006014742949400674,0.0003350656716550763
2.571,2.51654701219802,-0.0704462785727766,2.3417568261975,0.0245948934332557,10.76400369,41.98560178,0.0006014415239315978,0.0003346450084621056
2.5715,2.51654701219802,-0.0740637627653306,2.34126353312316,0.0175243566495231,10.8798455,42.34456278,0.0006013783269181629,0.0003342269371326217
2.572,2.51638258116032,-0.0709395718711577,2.34208568824711,0.0264036353952726,10.73133035,42.2015717,0.0006012847086749854,0.00033394272396242527
2.5725,2.51621815012264,-0.0743926249651623,2.34159239517271,0.0163733390300737,10.77232053,42.25081759,0.0006011769415045334,0.0003335294661647842
2.573,2.51654701219802,-0.0692952608772944,2.34241455029676,0.0341318964786652,10.73727096,42.04196755,0.0006011043008726983,0.0003332504374119472
2.5735,2.51621815012264,-0.0656777766982342,2.3417568261975,0.0277190840934111,10.84776623,42.1570724,0.0006009517479354144,0.00033282622855019774
2.574,2.51671144323574,-0.066828794390463,2.34126353312316,0.0185109431797002,10.87568708,42.1024866,0.0006008673332086838,0.00033242086529327745
2.5745,2.5170403053112,-0.0592649638604314,2.34225011927193,0.030514412572739,10.59826078,42.07697367,0.0006007527538966456,0.0003321656019172295
2.575,2.5170403053112,-0.0623891547261305,2.3417568261975,0.0254170488708343,10.59529048,42.13749271,0.0006005919829027884,0.0003317647550156036
2.5755,2.5170403053112,-0.0589361016644835,2.34257898132161,0.0395581223196257,10.64459751,42.13333944,0.000600418032505711,0.000331498089095505
2.576,2.51720473634896,-0.0564696351975508,2.34208568824711,0.0278835151805891,10.70816199,42.3326963,0.0006002474170892349,0.00033110268688764177
2.5765,2.5170403053112,-0.060415981546911,2.3417568261975,0.0229505825566063,10.9356872,42.1719055,0.0006000308827623823,0.00033072629839217744
2.577,2.5170403053112,-0.0581139461749812,2.34257898132161,0.0347896208241688,10.73073629,42.39677528,0.0005998177213700541,0.0003304674024771887
2.5775,2.51687587427346,-0.0637046035139605,2.3419212572223,0.0245948934332557,10.79608296,42.41635498,0.000599574954777845,0.000330063080694595
2.578,2.51687587427346,-0.0627180169229616,2.34274341234646,0.0454776413944006,10.68796393,42.23895111,0.0005993353809797177,0.0003298093628163717
2.5785,2.5170403053112,-0.0618958614310416,2.34241455029676,0.0301855503989978,10.83707314,42.33981618,0.0005990990323046791,0.00032944333099775374
2.579,2.51671144323574,-0.066171069994777,2.3419212572223,0.0245948934332557,10.5543003,42.30955666,0.0005988001719358056,0.00032906346531700703
2.5795,2.51687587427346,-0.0641978968097444,2.34241455029676,0.0367627938587837,10.8994495,42.4317814,0.0005985373800909923,0.00032878451408574087
2.58,2.51671144323574,-0.0691308297780244,2.3419212572223,0.024266031258085,11.01232101,42.68750403,0.0005982284243307526,0.0003284090997670253
2.5805,2.51671144323574,-0.0658422077970607,2.34290784337133,0.0407091399194941,10.85845932,42.49882701,0.0005979226196581347,0.00032818398439806714
2.581,2.51671144323574,-0.0640334657111287,2.34241455029676,0.0300211193120975,11.08063798,42.69818386,0.0005976035110558324,0.00032781348422394185
2.5815,2.51654701219802,-0.0683086742819914,2.3417568261975,0.0232794447320954,10.65944902,42.58011239,0.000597254645683591,0.0003274288517970287
2.582,2.51654701219802,-0.0669932254894372,2.34257898132161,0.0351184829968021,10.82340974,42.45195441,0.000596908843317899,0.0003271941097482362
2.5825,2.51638258116032,-0.0729127450665876,2.3419212572223,0.0252526177833583,11.07826174,42.46797416,0.000596533152805391,0.0003268133427429387
