Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
IR,21,Pulse_Area_norm,Normal vs Ischaemia,0.8111206253418518,0.730851513920294,0.8952609784283512,119
IR,21,Pulse_Area_norm,Normal vs Congestion,0.5678822405141828,0.47363433573583213,0.6725811460629133,111
IR,21,Pulse_Area_norm,Ischaemia vs Congestion,0.13380315750601424,0.07103256535223751,0.20837239583333336,124
IR,21,S_AUC_norm,Normal vs Ischaemia,0.7687834040664187,0.6848863636363637,0.86254786228046,119
IR,21,S_AUC_norm,Normal vs Congestion,0.5094999248845063,0.41570594440122094,0.6206464608798572,111
IR,21,S_AUC_norm,Ischaemia vs Congestion,0.1937822233992788,0.11510687634219392,0.2732668067226891,124
IR,21,D_AUC_norm,Normal vs Ischaemia,0.7969397178368328,0.7141555169226305,0.8783513665541659,119
IR,21,D_AUC_norm,Normal vs Congestion,0.5894518857587735,0.4837058988188618,0.6854272716966159,111
IR,21,D_AUC_norm,Ischaemia vs Congestion,0.1578128117229849,0.09635719441886345,0.23999933087989297,124
IR,21,AUC_Ratio,Normal vs Ischaemia,0.43628243434545155,0.3492732937164636,0.5377025099732069,119
IR,21,AUC_Ratio,Normal vs Congestion,0.40096743910929766,0.29311977583586624,0.5092253989361704,111
IR,21,AUC_Ratio,Ischaemia vs Congestion,0.5077839061462308,0.39258808031409287,0.6120073908366054,124
Red/IR_Ratio,3,Red_IR_amp_norm_ratio,Normal vs Ischaemia,0.7568806976067631,0.7470431965879827,0.7667192542635335,9792
Red/IR_Ratio,3,Red_IR_amp_norm_ratio,Normal vs Congestion,0.032292837914871586,0.02668958881742335,0.037575437534122284,9038
Red/IR_Ratio,3,Red_IR_amp_norm_ratio,Ischaemia vs Congestion,0.015226107917321702,0.012017796073813243,0.018287032053458777,10126
Red/IR_Ratio,3,Pulse_Area_norm_ratio,Normal vs Ischaemia,0.7753805921636061,0.7574872556255945,0.7920946836894001,2848
Red/IR_Ratio,3,Pulse_Area_norm_ratio,Normal vs Congestion,0.116728767347804,0.10274574964256018,0.1313576075280919,2478
Red/IR_Ratio,3,Pulse_Area_norm_ratio,Ischaemia vs Congestion,0.07076830272307127,0.06030701156037878,0.08075919089684587,3022
Red/IR_Ratio,3,S_AUC_norm_ratio,Normal vs Ischaemia,0.6788479047511307,0.659714312705348,0.6992764638337086,2848
