time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg,Red_processed,IR_processed
2.8465000000000003,1.90371260821211,-0.0678153809846252,2.42101258146525,0.0397225534053803,29.3155462,78.92807593,4.950045668894215e-06,0.000100585871291818
2.847,1.90387703921542,-0.0664999321925778,2.4211770124956,0.0291989638772986,29.42544741,78.82839751,6.552868234526986e-06,0.00010038654787812062
2.8475,1.9035481772088,-0.0697885541752313,2.42068371940459,0.0183465120913873,29.64227952,78.9743552,8.118553729519139e-06,0.00010011936108186453
2.848,1.9033837462055,-0.0684731053811557,2.42134144352596,0.0339674653922399,29.13792208,78.81653103,9.712369732976675e-06,9.996511428414849e-05
2.8485,1.90371260821211,-0.0684731053811557,2.42084815043492,0.0206485473259513,29.20029844,78.99927481,1.1366814700877615e-05,9.96937110901886e-05
2.849,1.9033837462055,-0.0717617273688829,2.42068371940459,0.031500999093487,29.28287286,78.99512154,1.2966574421940634e-05,9.945295558253938e-05
2.8495,1.9035481772088,-0.0694596919765856,2.4211770124956,0.0252526177833583,29.45039795,78.91917607,1.4626420328675964e-05,9.927561041351588e-05
2.85,1.9035481772088,-0.0719261584684914,2.42035485734398,0.013578010521615,29.38208098,78.84441725,1.6280307712873167e-05,9.896435325444432e-05
2.8505000000000003,1.9035481772088,-0.0709395718711577,2.42134144352596,0.0268969286572235,29.46049698,79.12683946,1.7944465350188874e-05,9.883154049793427e-05
2.851,1.9033837462055,-0.0701174163739616,2.42068371940459,0.0165377701186265,29.3381205,79.00817467,1.960211811276964e-05,9.853203998169918e-05
2.8515,1.9032193152022,-0.0743926249651623,2.42068371940459,0.0275546530062133,29.23118959,79.03843419,2.126925913742444e-05,9.829593662417922e-05
2.852,1.9033837462055,-0.0737349005655837,2.42084815043492,0.0188398053562661,29.42069492,79.05089399,2.297838194374895e-05,9.807372519620358e-05
2.8525,1.9032193152022,-0.0771879536671588,2.42035485734398,0.0104538198288371,29.3547542,79.04140081,2.466343689846633e-05,9.778313208635538e-05
2.853,1.9032193152022,-0.0763657981659346,2.4211770124956,0.0257459110457265,29.28049662,79.17845865,2.6373415581861214e-05,9.762147537281455e-05
2.8535,1.9033837462055,-0.0780101091689141,2.42035485734398,0.0125914239878358,29.25554608,78.92807593,2.8108036859113915e-05,9.729289765584754e-05
