Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
Red,15,DiastolicWidth,Normal vs Congestion,0.565922991299001,0.4693742115222877,0.6817315702383289,130
Red,15,DiastolicWidth,Ischaemia vs Congestion,0.5758492965623305,0.4678710580094218,0.6768719806763286,132
Red,15,RiseTime_norm_bpm,Normal vs Ischaemia,0.5081329163596746,0.4128456221198156,0.6159004504436072,132
Red,15,RiseTime_norm_bpm,Normal vs Congestion,0.4916368333431042,0.39085425904164245,0.6039676157390388,130
Red,15,RiseTime_norm_bpm,Ischaemia vs Congestion,0.4901646270576616,0.3740095074487766,0.5916313286553974,132
Red,15,FallTime_norm_bpm,Normal vs Ischaemia,0.559921835294797,0.47130204738900394,0.65591128080131,132
Red,15,FallTime_norm_bpm,Normal vs Congestion,0.5541946498420764,0.4565897939821089,0.6493748074129443,130
Red,15,FallTime_norm_bpm,Ischaemia vs Congestion,0.48333551493950766,0.3742647058823529,0.5737523828976034,132
Red,15,PulseWidth_norm_bpm,Normal vs Ischaemia,0.4570973446971335,0.3663548496089257,0.5634214639861226,132
Red,15,PulseWidth_norm_bpm,Normal vs Congestion,0.506820310400922,0.4044064416307063,0.6014015937791827,130
Red,15,PulseWidth_norm_bpm,Ischaemia vs Congestion,0.5478209457373012,0.43279525176298583,0.6472545416460372,132
Red,15,SystolicWidth_norm_bpm,Normal vs Ischaemia,0.4885057892121607,0.38856499653659665,0.602089515757994,132
Red,15,SystolicWidth_norm_bpm,Normal vs Congestion,0.49626597075884726,0.39252232142857146,0.6063069303909822,130
Red,15,SystolicWidth_norm_bpm,Ischaemia vs Congestion,0.5141156689540474,0.4076962232994571,0.6120931792921778,132
Red,15,DiastolicWidth_norm_bpm,Normal vs Ischaemia,0.49286003728516,0.3985774425208516,0.5876330659075225,132
Red,15,DiastolicWidth_norm_bpm,Normal vs Congestion,0.5646229194783043,0.46781850119147744,0.6809911786326881,130
Red,15,DiastolicWidth_norm_bpm,Ischaemia vs Congestion,0.5670483719795975,0.45671042157028297,0.6698147437190455,132
Red,15,RiseFall_ratio,Normal vs Ischaemia,0.5107851597853217,0.4104568292370711,0.6051312677467292,132
Red,15,RiseFall_ratio,Normal vs Congestion,0.5185045883222376,0.4146810069930326,0.6155384787582141,130
Red,15,RiseFall_ratio,Ischaemia vs Congestion,0.498287167840498,0.4089314228489903,0.6051092971408606,132
Red,15,Width_Ratio,Normal vs Ischaemia,0.49586541981736915,0.39883712896981266,0.603593587106344,132
Red,15,Width_Ratio,Normal vs Congestion,0.5398048519081695,0.43220114590983394,0.6502158827658828,130
Red,15,Width_Ratio,Ischaemia vs Congestion,0.5458762050827685,0.45375551427908056,0.6319914158527218,132
Red,21,RiseTime,Normal vs Ischaemia,0.46310218895831695,0.36406123737113893,0.5686005852183607,130
Red,21,RiseTime,Normal vs Congestion,0.4910160349624897,0.39049919139583317,0.5880815996138893,124
Red,21,RiseTime,Ischaemia vs Congestion,0.5249048443050911,0.42108173961553275,0.6350326003751942,130
Red,21,FallTime,Normal vs Ischaemia,0.6679952117275085,0.5667215103081478,0.779177037617555,130
Red,21,FallTime,Normal vs Congestion,0.5920800114760622,0.500630083764275,0.6852248140314509,124
Red,21,FallTime,Ischaemia vs Congestion,0.41061403579194844,0.30762626942920585,0.5130556530509434,130
Red,21,PulseWidth,Normal vs Ischaemia,0.5410984374381893,0.43551055502846303,0.659115134021384,130
Red,21,PulseWidth,Normal vs Congestion,0.552035949621905,0.4707867503259452,0.638648860958366,124
Red,21,PulseWidth,Ischaemia vs Congestion,0.5138003279798052,0.40860297797671113,0.6244345747415049,130
Red,21,SystolicWidth,Normal vs Ischaemia,0.4692182560135606,0.3731074410878053,0.5774575486799294,130
Red,21,SystolicWidth,Normal vs Congestion,0.4983084018351468,0.3992599239375216,0.5890772100225227,124
Red,21,SystolicWidth,Ischaemia vs Congestion,0.5316260907371424,0.4301942667614309,0.6446630132340974,130
Red,21,DiastolicWidth,Normal vs Ischaemia,0.5882401629681325,0.48827557672692545,0.6983269412878788,130
Red,21,DiastolicWidth,Normal vs Congestion,0.5698476879883649,0.4709182731110697,0.6573806160882432,124
Red,21,DiastolicWidth,Ischaemia vs Congestion,0.4832810024634807,0.3964262043998887,0.5888945440357174,130
Red,21,RiseTime_norm_bpm,Normal vs Ischaemia,0.4760792987085847,0.3773892282195021,0.5821749363355304,130
Red,21,RiseTime_norm_bpm,Normal vs Congestion,0.5035632655771861,0.399699598252294,0.6033127352146856,124
Red,21,RiseTime_norm_bpm,Ischaemia vs Congestion,0.5249048443050911,0.42108173961553275,0.6350326003751942,130
Red,21,FallTime_norm_bpm,Normal vs Ischaemia,0.6818190164568166,0.5789915862090625,0.7861783611981888,130
Red,21,FallTime_norm_bpm,Normal vs Congestion,0.6159550919945336,0.5226409313725491,0.7094900173611112,124
Red,21,FallTime_norm_bpm,Ischaemia vs Congestion,0.41061403579194844,0.30762626942920585,0.5130556530509434,130
Red,21,PulseWidth_norm_bpm,Normal vs Ischaemia,0.5585157949033284,0.45054554079696396,0.6758406036531036,130
Red,21,PulseWidth_norm_bpm,Normal vs Congestion,0.566211196262977,0.48443937418513694,0.650988478659335,124
Red,21,PulseWidth_norm_bpm,Ischaemia vs Congestion,0.5138003279798052,0.40860297797671113,0.6244345747415049,130
Red,21,SystolicWidth_norm_bpm,Normal vs Ischaemia,0.481033330301228,0.3846451753653261,0.591109817858512,130
Red,21,SystolicWidth_norm_bpm,Normal vs Congestion,0.509977251845533,0.40931616380254837,0.6004946059504884,124
Red,21,SystolicWidth_norm_bpm,Ischaemia vs Congestion,0.5316260907371424,0.4301942667614309,0.6446630132340974,130
Red,21,DiastolicWidth_norm_bpm,Normal vs Ischaemia,0.5968366362042531,0.49929257157402535,0.7089230587121214,130
Red,21,DiastolicWidth_norm_bpm,Normal vs Congestion,0.579191897793911,0.4825119383911757,0.6688465852442672,124
Red,21,DiastolicWidth_norm_bpm,Ischaemia vs Congestion,0.4832810024634807,0.3964262043998887,0.5888945440357174,130
Red,21,RiseFall_ratio,Normal vs Ischaemia,0.6161056011080802,0.5169166666666667,0.7151155828002843,130
Red,21,RiseFall_ratio,Normal vs Congestion,0.5511552948385173,0.45288456364727553,0.6564727175439631,124
Red,21,RiseFall_ratio,Ischaemia vs Congestion,0.43916474978358244,0.33515957185341755,0.5376784154440775,130
Red,21,Width_Ratio,Normal vs Ischaemia,0.5789106871226971,0.47671684672821313,0.6707489667526273,130
Red,21,Width_Ratio,Normal vs Congestion,0.5680597125334985,0.47751591559315926,0.678252720531587,124
Red,21,Width_Ratio,Ischaemia vs Congestion,0.4865468379746568,0.38866919771032493,0.5871283598158598,130
IR,3,RiseTime,Normal vs Ischaemia,0.8278919717290737,0.7117074046415441,0.9269852941176471,64
IR,3,RiseTime,Normal vs Congestion,0.1101274035594201,0.021759863311587472,0.2275999895572264,66
IR,3,RiseTime,Ischaemia vs Congestion,0.08355198904697073,0.00781340607849229,0.1865095899470899,66
IR,3,FallTime,Normal vs Ischaemia,0.49110817250360983,0.44340609166961237,0.53450927734375,64
IR,3,FallTime,Normal vs Congestion,0.5158363705401715,0.45171076248662456,0.5758741258741258,66
IR,3,FallTime,Ischaemia vs Congestion,0.5273475473938923,0.4709893048128342,0.5833333333333333,66
IR,3,PulseWidth,Normal vs Ischaemia,0.13178109594020493,0.04445906945906946,0.2268959744458129,64
IR,3,PulseWidth,Normal vs Congestion,0.1536097748951216,0.06481373614994305,0.2697222222222222,66
IR,3,PulseWidth,Ischaemia vs Congestion,0.5107400620261064,0.3754490303502659,0.6516215679369183,66
IR,3,SystolicWidth,Normal vs Ischaemia,0.8108169566383819,0.677768817204301,0.9177393583428066,64
IR,3,SystolicWidth,Normal vs Congestion,0.06580266272195803,0.0018055555555555572,0.15809944404591103,66
IR,3,SystolicWidth,Ischaemia vs Congestion,0.060280682871681056,0.00044806985294117683,0.14710396973328013,66
IR,3,DiastolicWidth,Normal vs Ischaemia,0.11890360883519936,0.030858488132094943,0.21819117052801734,64
IR,3,DiastolicWidth,Normal vs Congestion,0.33734203155641096,0.21618199035812669,0.4848760399298033,66
IR,3,DiastolicWidth,Ischaemia vs Congestion,0.8078672088612571,0.6782057967499395,0.910921670751634,66
IR,3,RiseTime_norm_bpm,Normal vs Ischaemia,0.8278919717290737,0.7117074046415441,0.9269852941176471,64
IR,3,RiseTime_norm_bpm,Normal vs Congestion,0.11385714044656309,0.025231706732087075,0.237172837885154,66
IR,3,RiseTime_norm_bpm,Ischaemia vs Congestion,0.09251876251170657,0.011875906078492295,0.19749373433583964,66
IR,3,FallTime_norm_bpm,Normal vs Ischaemia,0.49110817250360983,0.44340609166961237,0.53450927734375,64
IR,3,FallTime_norm_bpm,Normal vs Congestion,0.9447880595832535,0.8663453816123449,1.0,66
