Depth_mm,State,Channel,Processing,SNR_Welch_dB,Signal_Power,Noise_Power,SNR_FFT_dB,PI_Percent,DC_Component,AC_Component,mean,std,skewness,kurtosis,peak_to_peak,cv,rms,SNR_Improvement_dB,Artifacts_Count,Artifacts_Percent
9,Normal,IR,Raw,17.931070269545103,4.454702183811596e-07,7.173178661927405e-09,17.05910009409867,0.0406059396780729,2.452722022182954,0.00099595082479842,2.452722022182954,0.00099595082479842,-0.06299521727548565,-0.8501230216907274,0.005097362000000327,0.0004060593967641735,2.4527222243905418,,,
9,Normal,IR,Processed,21.42809367098614,3.7547778051474787e-07,2.7025570775368878e-09,18.395720430631364,63.64213823332396,0.0012224313101018814,0.0007779814241824725,0.0012224313101018814,0.0007779814241824725,-0.09603563684929069,-1.3778611794316473,0.0026537094142531684,0.6364213302713099,0.0014489973789798209,3.4970234014410373,0.0,0.0
9,Ischaemia,Red,Raw,3.7130492120172325,3.200466152598372e-08,1.3611573021729437e-08,5.097462187116495,0.019386819978906684,2.508101732990137,0.0004862411678626366,2.508101732990137,0.0004862411678626366,-0.09044252989558198,-0.10218602392421294,0.003617482814400219,0.00019386819978133715,2.5081017801234866,,,
9,Ischaemia,Red,Processed,13.02294291718191,2.7152113829899734e-08,1.3536592458409709e-09,11.533464008226318,59.030296453829564,0.0003618814051916042,0.00021361966629588816,0.0003618814051916042,0.00021361966629588816,-0.18641181439450144,-0.367031632713938,0.0012896277878745985,0.5903028014177836,0.00042022793011866396,9.309893705164678,0.0,0.0
9,Ischaemia,IR,Raw,14.924802962471905,1.5897305063309863e-07,5.114971426929669e-09,14.639972128122874,0.028052671984442785,2.4573833790827737,0.0006893616987343067,2.4573833790827737,0.0006893616987343067,-0.008704420267832831,-0.5893847826691108,0.00394634479336009,0.00028052671983301217,2.4573834757749595,,,
9,Ischaemia,IR,Processed,19.71227990379458,1.3527537149695385e-07,1.4454089677997031e-09,16.62399282305927,64.07089285033891,0.0007312823831540448,0.0004685391521440329,0.0007312823831540448,0.0004685391521440329,-0.08513230507132756,-1.3918832667064638,0.0016794429712343553,0.6407088408889661,0.0008685061087887111,4.7874769413226765,0.0,0.0
9,Congestion,Red,Raw,7.910741688891224,9.362531171601181e-08,1.5146737807096613e-08,8.969580731845992,0.025140039030276697,2.50341085933513,0.0006293584671250369,2.50341085933513,0.0006293584671250369,-0.20960023884669768,-0.2702753872758996,0.0044396380000000235,0.00025140039029272466,2.5034109384456107,,,
9,Congestion,Red,Processed,15.928212392006998,7.756367410301453e-08,1.98078406584122e-09,14.033132978436512,57.747976435475,0.0006025791910311028,0.0003479772892417172,0.0006025791910311028,0.0003479772892417172,-0.22408504959132766,-0.9222361272275368,0.0016417041150849367,0.5774796685200984,0.0006958375351270668,8.017470703115773,0.0,0.0
9,Congestion,IR,Raw,17.961355568622558,3.8649910971291796e-07,6.18034815929197e-09,17.133265010383333,0.03971140053256427,2.4489117548691555,0.0009724971556651389,2.4489117548691555,0.0009724971556651389,-0.02684608396310056,-0.7346889135667061,0.005426223999999813,0.0003971140053094268,2.4489119479652683,,,
9,Congestion,IR,Processed,21.55651119164731,3.315533171930161e-07,2.3168731586960487e-09,18.338725213095106,64.04069773911313,0.0011424588316603361,0.0007316386071773991,0.0011424588316603361,0.0007316386071773991,-0.11383255760239092,-1.3954828104944657,0.002507031859517397,0.6404069213359892,0.0013566529525089253,3.595155623024752,0.0,0.0
15,Normal,Red,Raw,4.360152676308337,3.438163552603643e-08,1.2598280234018479e-08,5.805901963100196,0.021153127439193623,2.513219066803043,0.0005316244320269604,2.513219066803043,0.0005316244320269604,-0.13335379698384128,-0.15486313183275158,0.003946344898279719,0.00021153127438351948,2.5132191230306393,,,
15,Normal,Red,Processed,12.971941106015219,2.6595690545716278e-08,1.3415818077396434e-09,10.94804089286691,60.67491419728981,0.0003378278704251486,0.0002049767705149903,0.0003378278704251486,0.0002049767705149903,0.01634480354832631,-0.46480196269875984,0.0011563142365359315,0.6067489623699063,0.0003951495242142472,8.611788429706882,0.0,0.0
15,Normal,IR,Raw,15.436794351300664,9.24312018290081e-08,2.643255623402793e-09,15.535966072405476,0.026222145095456003,2.3377196708352925,0.0006130002440114468,2.3377196708352925,0.0006130002440114468,-0.01913731624663147,-0.4130292331363661,0.003781913564109729,0.00026222145094334303,2.3377197512061976,,,
15,Normal,IR,Processed,20.95917940932378,7.013943895052075e-08,5.623987499219984e-10,17.196153004595523,62.16399211503572,0.0005478309825569519,0.0003405536088004263,0.0005478309825569519,0.0003405536088004263,-0.11339738126019454,-1.321880085720702,0.0011814007355764257,0.6216398076774381,0.0006450546844386987,5.522385058023117,0.0,0.0
15,Ischaemia,Red,Raw,1.334978152596035,1.952646414439284e-08,1.4359052818632362e-08,2.745731087450578,0.01965148463415184,2.516720489629653,0.0004945729403041222,2.516720489629653,0.0004945729403041222,-0.11532645157713244,-0.22193235569060876,0.0037819138671197905,0.00019651484633371002,2.5167205382251154,,,
