Channel,State,Feature,Pressure,n,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p
Red,Ischaemia,S_AUC,p1_mmhg,24,0.19084169690909175,0.37171298709814093,-0.1761816916325276,0.5097867868310482,0.1060869565217391,0.6217515088671185
Red,Congestion,S_AUC,p1_mmhg,24,0.07955444232666306,0.7117427063213232,-0.27050566194546566,0.44645036038869923,0.09391304347826085,0.6624853858393347
Red,Normal,D_AUC,p2_mmhg,24,0.03417695558821614,0.8740313712793525,-0.40131083203053697,0.5155001280447068,0.17565217391304347,0.41165144697505396
Red,Ischaemia,D_AUC,p2_mmhg,24,0.10117852298119118,0.6380542024978904,-0.17707249552692472,0.38074861643830726,0.07652173913043478,0.7222991032128186
Red,Congestion,D_AUC,p2_mmhg,24,-0.021893458857204822,0.9191204430118386,-0.37029507474791185,0.35579722461730245,0.09652173913043478,0.6536731719946905
Red,Normal,D_AUC,p1_mmhg,24,0.23705488965264776,0.2647124679798184,-0.22274358046201476,0.5825232503965552,0.15304347826086956,0.4752549676743846
Red,Ischaemia,D_AUC,p1_mmhg,24,-0.10233776051970456,0.6341888816498154,-0.46126929248899484,0.301888503737983,-0.07652173913043478,0.7222991032128186
Red,Congestion,D_AUC,p1_mmhg,24,0.27920360191565835,0.18641769195121305,-0.031546960023183496,0.5673593303644601,0.38434782608695645,0.06368822401812063
Red,Normal,AUC_Ratio,p2_mmhg,24,0.06482905865007887,0.7634462153375493,-0.49845454627586905,0.40708724813817426,-0.33739130434782605,0.10689212043935849
Red,Ischaemia,AUC_Ratio,p2_mmhg,24,-0.07193154258664859,0.7383703025560905,-0.37816189293326297,0.2320673128995056,0.02695652173913043,0.9004982689028822
Red,Congestion,AUC_Ratio,p2_mmhg,24,0.03343521965165801,0.8767446904200831,-0.24048827712097293,0.243422171267048,-0.1869565217391304,0.381708968635058
Red,Normal,AUC_Ratio,p1_mmhg,24,-0.025851369264995892,0.9045590621344729,-0.5104715971192733,0.33384264810744413,-0.07130434782608694,0.7405746871767942
Red,Ischaemia,AUC_Ratio,p1_mmhg,24,0.19072648197516945,0.37200722666312874,-0.1718913389822465,0.46566275113675615,0.009565217391304347,0.9646181660759277
Red,Congestion,AUC_Ratio,p1_mmhg,24,0.0021433686949472452,0.992069361292181,-0.34630765284774906,0.3459828953878689,-0.0826086956521739,0.7011629844471832
Red,Normal,Start_Datum_Area,p2_mmhg,24,-0.19981229259529246,0.34921766834711926,-0.5362410976486073,0.21157002679011416,-0.06,0.7806300955564118
Red,Ischaemia,Start_Datum_Area,p2_mmhg,24,0.061858463161607306,0.7740046041558635,-0.2899135166093701,0.5068902245248633,0.12869565217391304,0.5489587886992762
Red,Congestion,Start_Datum_Area,p2_mmhg,24,-0.05159233654013738,0.8107828806622128,-0.39959215029915807,0.3439331003581872,-0.03043478260869565,0.8877339355759605
Red,Normal,Start_Datum_Area,p1_mmhg,24,0.12740178264034177,0.5530167580004957,-0.2921285402093984,0.4341926786477328,-0.10086956521739131,0.6390859319090778
Red,Ischaemia,Start_Datum_Area,p1_mmhg,24,0.14275984517606205,0.5057539366029619,-0.16647149226034558,0.4031841881087995,0.07043478260869565,0.7436342012968032
Red,Congestion,Start_Datum_Area,p1_mmhg,24,0.333514639768748,0.11123949648062487,0.08235798746525623,0.5905490169181835,0.368695652173913,0.0762496884790825
Red,Normal,End_Datum_Area,p2_mmhg,24,0.24472379302227718,0.24910490512159678,-0.22282456897498987,0.6180653202921448,0.17304347826086955,0.4187403495722347
Red,Ischaemia,End_Datum_Area,p2_mmhg,24,-0.4178327508183146,0.04218395925406706,-0.7258407223499875,-0.008613182939623185,-0.39826086956521733,0.05391472845659877
Red,Congestion,End_Datum_Area,p2_mmhg,24,0.04654383697932021,0.8290177389976262,-0.34802164125898694,0.4412820148103376,0.002608695652173913,0.9903476848039034
Red,Normal,End_Datum_Area,p1_mmhg,24,0.5025909338339514,0.01231479865866263,0.05974455472886569,0.771842444726105,0.3521739130434782,0.09145834490857081
Red,Ischaemia,End_Datum_Area,p1_mmhg,24,0.32574680507382914,0.12033859995290662,-0.014921737774409305,0.667210225100902,0.2982608695652174,0.15688329961066771
