PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Systolic_Width,Diastolic_Width,Delta_T,Upslope,Downslope,DNP,RWI,State,Channel
0.12423656886658056,0.248,0.7985,1.0465,0.641,0.248,0.7985,0.0,1.5370204882679517e-05,-6.274375903608386e-06,0.0008737775886759685,0.9999999693453214,Normal,Red
0.12942002570031289,0.266,0.712,0.978,0.6035,0.266,0.712,0.0695,1.7682718758937552e-05,-5.523269299660813e-06,0.13670072644090428,0.9999999705709597,Normal,Red
0.1084883935766786,0.2595,0.6905,0.95,0.63,0.2595,0.6905,0.072,1.6197861058561604e-05,-6.262673475729329e-06,0.17996395169110946,0.9999999648914838,Normal,Red
0.12461175259808632,0.1625,0.789,0.9515,0.536,0.1625,0.789,0.0,1.8498493625307227e-05,-5.018752041030332e-06,0.8886981097279298,0.9999999694311569,Normal,Red
0.13162057164460986,0.192,0.796,0.988,0.5435,0.192,0.796,0.113,1.6685897708536095e-05,-5.104684054650676e-06,0.03345003659292344,0.9999999710589642,Normal,Red
0.11698310960317783,0.186,0.747,0.933,0.532,0.186,0.747,0.0,1.4829644497192326e-05,-3.883400701030885e-06,0.08136520573869056,0.9999999674442523,Normal,Red
0.11880360808380218,0.1795,0.812,0.9915,0.587,0.1795,0.812,0.0005,1.5658459096061072e-05,-5.055162810772363e-06,0.0017812952811913363,0.9999999679464582,Normal,Red
0.1143284717298903,0.2715,0.604,0.8755,0.5715,0.2715,0.604,0.0735,1.4134224969089104e-05,-4.6409482801887305e-06,0.09408268365555532,0.9999999666963575,Normal,Red
0.11277750373954792,0.24,0.813,1.053,0.4795,0.24,0.813,0.028,1.788099703647916e-05,-4.077607712874877e-06,0.7652354883314267,0.9999999662327285,Normal,Red
0.11048517222659238,0.2935,0.689,0.9825,0.51,0.2935,0.689,0.0805,1.7211557783479935e-05,-5.641054979284169e-06,0.3511729311930445,0.9999999655366278,Normal,Red
0.10804906522336263,0.1315,0.816,0.9475,0.5015,0.1315,0.816,0.068,1.8355510466539653e-05,-4.2146764524799655e-06,0.908321124983487,0.999999964763091,Normal,Red
0.10057135914255767,0.1565,0.7735,0.93,0.534,0.1565,0.7735,0.075,1.5169204358229222e-05,-5.130267123470533e-06,0.4492139258167675,0.999999962145138,Normal,Red
0.10420594759671087,0.207,0.8035,1.0105,0.514,0.207,0.8035,0.0,1.3400362814155022e-05,-5.458914304348473e-06,0.0001188399821761331,0.999999963464876,Normal,Red
0.11379425379337661,0.2435,0.712,0.9555,0.5585,0.2435,0.712,0.068,1.620539101458414e-05,-4.619575724315096e-06,0.0011772616605716505,0.999999966542701,Normal,Red
0.12214336909279697,0.158,0.791,0.949,0.527,0.158,0.791,0.0735,1.757484141068908e-05,-4.089793408418806e-06,0.04861638027056905,0.9999999688323451,Normal,Red
0.10711328876236544,0.1645,0.805,0.9695,0.581,0.1645,0.805,0.09,1.5308390543236432e-05,-4.560481059556905e-06,0.047000963775962544,0.9999999644625275,Normal,Red
0.10123587590958251,0.232,0.7395,0.9715,0.5655,0.232,0.7395,0.0,1.2308720686416514e-05,-4.933240026749278e-06,0.661911177435835,0.9999999624011462,Normal,Red
0.23988638942271,0.1555,0.805,0.9605,0.545,0.1555,0.805,0.075,2.498662682289931e-05,-3.7328014235130807e-06,0.014606241214879353,0.9999999771212077,Normal,IR
0.24500068670606268,0.162,0.7955,0.9575,0.5185,0.162,0.7955,0.0765,2.4538894013272214e-05,-4.010832975210438e-06,0.005887737205024038,0.9999999775992988,Normal,IR
0.24540315370553578,0.1705,0.7975,0.968,0.5165,0.1705,0.7975,0.0,2.3382694430698018e-05,-4.3290974204549144e-06,0.00020205599745710316,0.9999999776363123,Normal,IR
0.24508017368265156,0.1665,0.803,0.9695,0.5245,0.1665,0.803,0.078,2.3934894782413722e-05,-4.330004129750071e-06,0.02282516210148189,0.9999999776081384,Normal,IR
0.24155610334993233,0.161,0.801,0.962,0.514,0.161,0.801,0.0775,2.4329389801223218e-05,-3.775414037366048e-06,0.001436228650858722,0.9999999772827692,Normal,IR
0.240937043219165,0.1645,0.8005,0.965,0.5215,0.1645,0.8005,0.079,2.3840668271954066e-05,-4.21873580347523e-06,0.001351077224295254,0.9999999772245934,Normal,IR
0.24121992791461622,0.1605,0.802,0.9625,0.5095,0.1605,0.802,0.0775,2.448966507702095e-05,-4.163071196358549e-06,0.018568938827242375,0.9999999772524102,Normal,IR
0.2394826693162442,0.16,0.8005,0.9605,0.5305,0.16,0.8005,0.0805,2.379144228943186e-05,-3.851947924430872e-06,0.0011386809662878806,0.9999999770882216,Normal,IR
0.24283379336930822,0.165,0.8015,0.9665,0.515,0.165,0.8015,0.082,2.4030575890616416e-05,-4.376859186320126e-06,0.0002402213937356244,0.9999999774049795,Normal,IR
