PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Upslope,Downslope,Delta_T,RWI,DNP,State,Channel
0.12423656886658056,0.248,0.7985,1.0465,0.641,9.423373809108739,-3.8467795328606087,0.0,0.9577323428254227,0.0008737775886759685,Normal,Red
0.12942002570031289,0.266,0.712,0.978,0.6035,10.407708842843192,-3.2508902909758035,0.0695,0.8487191012419399,0.13670072644090428,Normal,Red
0.1084883935766786,0.2595,0.6905,0.95,0.63,11.373657363308155,-4.3974634696335215,0.072,0.8040687752526269,0.17996395169110946,Normal,Red
0.12461175259808632,0.1625,0.789,0.9515,0.536,11.309551008802828,-3.06834888063068,0.0,0.8713079004152854,0.0015342798793953156,Normal,Red
0.13162057164460986,0.192,0.796,0.988,0.5435,9.658143245016959,-2.9546968752628118,0.113,0.8180023145219796,0.03345003659292344,Normal,Red
0.11698310960317783,0.186,0.747,0.933,0.532,9.655803282579598,-2.5285402656607516,0.0,0.8946239797690148,0.08136520573869056,Normal,Red
0.11880360808380218,0.1795,0.812,0.9915,0.587,10.03818146658125,-3.2407174503148326,0.0005,0.8640773717357181,0.0017812952811913363,Normal,Red
0.1143284717298903,0.2715,0.604,0.8755,0.5715,9.414423513413738,-3.0912096495632397,0.0735,0.8217531154689396,0.09408268365555532,Normal,Red
0.11277750373954792,0.24,0.813,1.053,0.4795,12.075849657106346,-2.7537937398502663,0.028,0.86053960983855,0.7652354883314267,Normal,Red
0.11048517222659238,0.2935,0.689,0.9825,0.51,11.863366424329342,-3.888195541676737,0.0805,0.7189095947208702,0.3511729311930445,Normal,Red
0.10804906522336263,0.1315,0.816,0.9475,0.5015,12.935829033260916,-2.970243411055037,0.068,0.9232266259186279,0.0007501383276719511,Normal,Red
0.10057135914255767,0.1565,0.7735,0.93,0.534,11.484562760615347,-3.8841110823494773,0.075,0.9592193099730328,0.4492139258167675,Normal,Red
0.10420594759671087,0.207,0.8035,1.0105,0.514,9.791678333536083,-3.9888422171716797,0.0,0.8697957712050675,0.0001188399821761331,Normal,Red
0.11379425379337661,0.2435,0.712,0.9555,0.5585,10.843772277471544,-3.0911705325669345,0.068,0.8296805974794639,0.0011772616605716505,Normal,Red
0.12214336909279697,0.158,0.791,0.949,0.527,10.95533183524418,-2.549385390161774,0.0735,0.8456844218668977,0.04861638027056905,Normal,Red
0.10711328876236544,0.1645,0.805,0.9695,0.581,10.880430169951865,-3.2413594080809958,0.09,0.9510682848120006,0.047000963775962544,Normal,Red
0.10123587590958251,0.232,0.7395,0.9715,0.5655,9.255875792647316,-3.7096834111524686,0.0,0.8987691263453825,0.661911177435835,Normal,Red
0.23988638942271,0.1555,0.805,0.9605,0.545,11.433276964016159,-1.708039777805709,0.075,0.9156627197919895,0.014606241214879353,Normal,IR
0.24500068670606268,0.162,0.7955,0.9575,0.5185,10.99376869482586,-1.7969094279145281,0.0765,0.91810114071682,0.005887737205024038,Normal,IR
0.24540315370553578,0.1705,0.7975,0.968,0.5165,10.458465547986805,-1.9362916604799238,0.0,0.9270842028351133,0.00020205599745710316,Normal,IR
0.24508017368265156,0.1665,0.803,0.9695,0.5245,10.718937076997122,-1.9391370729579762,0.078,0.9226711691223095,0.02282516210148189,Normal,IR
0.24155610334993233,0.161,0.801,0.962,0.514,11.053927282651046,-1.715339043515371,0.0775,0.919484926527365,0.001436228650858722,Normal,IR
0.240937043219165,0.1645,0.8005,0.965,0.5215,10.85961832080784,-1.9216684741996346,0.079,0.9231912474843254,0.001351077224295254,Normal,IR
0.24121992791461622,0.1605,0.802,0.9625,0.5095,11.141617138468064,-1.8939967224595193,0.0775,0.9328806500394154,0.018568938827242375,Normal,IR
0.2394826693162442,0.16,0.8005,0.9605,0.5305,10.90208510468085,-1.765099550505056,0.0805,0.9323077942694578,0.0011386809662878806,Normal,IR
0.24283379336930822,0.165,0.8015,0.9665,0.515,10.859427149416263,-1.9779044702651163,0.082,0.9196100495658437,0.0002402213937356244,Normal,IR
0.2467877558920259,0.1645,0.802,0.9665,0.519,10.84156659196401,-1.6848807321419486,0.081,0.9127878068112646,0.010353708944878791,Normal,IR
0.24132943636168083,0.161,0.801,0.962,0.517,11.17292071098609,-1.7688526378599363,0.0765,0.9222385251151872,0.009888540100406332,Normal,IR
0.2388040620750835,0.1625,0.7995,0.962,0.5255,10.827406058173267,-2.0398854833691473,0.08,0.9383883945468595,0.00010787636064234984,Normal,IR
0.24164587866702228,0.1675,0.8,0.9675,0.521,10.723311249217204,-1.6943916980893619,0.081,0.9318624359886601,0.00033138116210097837,Normal,IR
0.23970906063866568,0.163,0.8005,0.9635,0.52,11.107302926414945,-1.9129937699848938,0.0,0.9384270314298205,0.014501691208775739,Normal,IR
0.24158829224063116,0.162,0.8055,0.9675,0.5165,10.990655229911056,-1.6304930312996646,0.0,0.9187677144195886,0.00016281083495982962,Normal,IR
0.23914317563996823,0.16,0.8025,0.9625,0.5185,11.119936237611398,-1.8836968307950883,0.0805,0.9309451173145924,0.0003351122448060278,Normal,IR
