PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Systolic_Width,Diastolic_Width,Upslope,Downslope,DNP,RWI,Delta_T,State,Channel
0.07318885849635043,0.2665,0.7305,0.9975,0.475,0.2665,0.7305,3.7523452157598496,1.3689253935660506,0.9993685441217675,0.9993685441217675,0.2665,Ischaemia,Red
0.06211326854635875,0.1465,0.7175,0.8645,0.531,0.1465,0.7175,6.825938566552901,1.3937282229965156,0.9999504766057375,0.9999504766057375,0.1465,Ischaemia,Red
0.06498581592206981,0.2585,0.821,1.08,0.582,0.2585,0.821,3.8684719535783363,1.218026796589525,0.9999341282546,0.9999341282546,0.2585,Ischaemia,Red
0.0651713838082579,0.1275,0.751,0.879,0.5485,0.1275,0.751,7.8431372549019605,1.3315579227696406,0.9999911369164872,0.9999911369164872,0.1275,Ischaemia,Red
0.06734323465229346,0.2405,0.831,1.072,0.5905,0.2405,0.831,4.158004158004158,1.203369434416366,0.9999446964687215,0.9999446964687215,0.2405,Ischaemia,Red
0.06987273912516577,0.23,0.714,0.9445,0.4225,0.23,0.714,4.3478260869565215,1.400560224089636,0.9996352793743633,0.9996352793743633,0.23,Ischaemia,Red
0.07239696257139733,0.232,0.7785,1.011,0.5315,0.232,0.7785,4.310344827586206,1.2845215157353886,0.9999899780184539,0.9999899780184539,0.232,Ischaemia,Red
0.06695978012613597,0.1235,0.847,0.971,0.6175,0.1235,0.847,8.097165991902834,1.1806375442739079,0.9999521670227687,0.9999521670227687,0.1235,Ischaemia,Red
0.07396058957955438,0.1415,0.8405,0.9825,0.524,0.1415,0.8405,7.06713780918728,1.189767995240928,0.9993194774275928,0.9993194774275928,0.1415,Ischaemia,Red
0.06017764629452015,0.266,0.598,0.8645,0.6275,0.266,0.598,3.7593984962406015,1.6722408026755853,0.9999652143972151,0.9999652143972151,0.266,Ischaemia,Red
0.0637017998516994,0.284,0.703,0.9875,0.5205,0.284,0.703,3.5211267605633805,1.4224751066856332,0.9999561354101529,0.9999561354101529,0.284,Ischaemia,Red
