State,Channel,Depth_mm,Pulse_ID,Amplitude,AUC,S_AUC,D_AUC,AUC_Ratio,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff
Normal,Red,3,13,2.0652824498555802e+135,2.2159696389683815e+138,7.959933011730952e+137,1.4179110563764257e+138,0.5613845082831315,-2.5084481951184733e+137,4.1091354171229363e+136,-6.104564441136854,2.0652824498555802e+135
Normal,Red,3,14,1.1064934888521456e+133,1.2724260305609406e+136,5.018902379615073e+135,7.694293001508931e+135,0.6522889599643286,-2.5263285654151104e+135,1.5946927157534157e+134,-15.84210262239482,1.1064934888521456e+133
Normal,IR,3,0,1.7766070968466463e+196,3.1103649453424504e+200,7.964673758893782e+198,3.0305405470454217e+200,0.026281363457284265,-3.9874931949841664e+198,2.491555173832989e+197,-16.00403329158406,1.7766070968466463e+196
Normal,IR,3,1,7.701891198113899e+164,8.841726279457144e+167,3.540505654145464e+167,5.293518738264074e+167,0.6688378428800116,-1.6699889208275987e+167,1.1197135537419579e+166,-14.914429813291818,7.701891198113899e+164
Normal,IR,3,2,3.1757663377095e+162,3.616262974493664e+165,1.4337992549712028e+165,2.1792879555497675e+165,0.6579209742888241,-7.271987550337411e+164,4.2267732063602205e+163,-17.204584195326394,3.1757663377095e+162
Normal,IR,3,3,1.2008200200224942e+160,1.3911278306367723e+163,5.384974465205787e+162,8.514295651857697e+162,0.6324627057119943,-2.725113621069241e+162,1.6634185355504885e+161,-16.382609444516003,1.2008200200224942e+160
Normal,IR,3,4,3.279036874774017e+157,5.312711244948837e+159,5.312711244948837e+159,0.0,,-9.971283698129188e+159,0.0,,3.279036874774017e+157
Normal,IR,3,5,1.1820401728828171e+157,1.113278775080559e+160,3.018418881045732e+159,8.102548470926177e+159,0.37252709957570995,-3.0555895858052994e+158,6.051317882136088e+158,-0.5049461365805311,1.1820401728828171e+157
Normal,IR,3,6,1.5727510124926772e+155,6.01203801642825e+158,6.725888568868786e+157,5.33787640995172e+158,0.12600307785937706,-2.491225274350723e+157,2.5600161581872405e+156,-9.731287306072206,1.5727510124926772e+155
Normal,IR,3,7,7.454551992668785e+147,1.1567019563523078e+150,1.1567019563523078e+150,0.0,,-2.231357810563627e+150,0.0,,7.454551992668785e+147
Normal,IR,3,8,2.8556140787211016e+147,2.689294350500699e+150,7.359282302653219e+149,1.950510513922723e+150,0.37730031446243134,-7.497600179416881e+148,1.4552258140462802e+149,-0.515219020103119,2.8556140787211016e+147
Normal,IR,3,9,3.8754654813389965e+145,4.3278268793806285e+148,1.6644433676737582e+148,2.659508049958758e+148,0.6258463356407473,-6.350212244541744e+147,5.85338825597066e+146,-10.848780171150114,3.8754654813389965e+145
